iteration,hatchSuccess,hatchDays,neglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F,meanIncubation_M,varIncubation_M,numIncubation_M,meanForaging_M,varForaging_M,numForaging_M,meanIncubation_F,varIncubation_F,numIncubation_F,meanForaging_F,varForaging_F,numForaging_F,incubationMetabolism,foragingMetabolism,minEnergyThreshold,maxEnergyThreshold
0,1,31,0,0,210.03,155.841,1280.45,222.23,148.485,1447.66,1,0,15,1,0,15,1,0,16,1,0,15,10,1,15,80
1,1,31,0,0,221.517,169.247,1593.44,200.234,149.593,769.959,1,0,15,1,0,15,1,0,16,1,0,15,10,2,15,80
2,1,31,0,0,208.01,158.189,1280.35,202.264,146.897,1096.08,1,0,15,1,0,15,1,0,16,1,0,15,10,3,15,80
3,1,31,0,0,171.671,133.248,709.985,209.75,144.336,1186.27,1,0,15,1,0,15,1,0,16,1,0,15,10,4,15,80
4,1,31,0,0,153.142,129.452,351.731,133.454,108.175,93.2772,1,0,15,1,0,15,1,0,16,1,0,15,10,5,15,80
5,1,31,0,0,160.976,139.313,386.663,148.311,107.694,258.035,1,0,15,1,0,15,1,0,16,1,0,15,10,6,15,80
6,1,31,0,0,154.504,133.636,242.624,142.453,110.33,183.151,1,0,15,1,0,15,1,0,16,1,0,15,10,7,15,80
7,1,31,0,0,127.791,131.01,169.358,137.344,117.937,173.482,1,0,15,1,0,15,1,0,16,1,0,15,10,8,15,80
8,1,31,0,0,115.358,115.334,55.6152,111.292,95.2383,46.96,1,0,15,1,0,15,1,0,16,1,0,15,10,9,15,80
9,1,31,0,0,91.268,88.0862,70.4087,124.086,106.356,117.522,1,0,15,1.07143,0.0663265,14,1.06667,0.0622222,15,1,0,15,10,10,15,80
10,1,31,0,0,78.0137,89.6132,142.149,87.3244,91.7636,56.2614,1,0,14,1.14286,0.122449,14,1.13333,0.115556,15,1,0,14,10,11,15,80
11,1,31,0,0,65.6267,79.0083,340.058,29.8736,71.6543,512.579,1.85714,2.12245,7,2,3.14286,7,1.875,2.85938,8,1.85714,2.12245,7,10,12,15,80
12,1,31,0,0,41.5585,79.4013,340.791,47.353,69.536,438.768,1.57143,1.10204,7,2,3.14286,7,1.875,2.85938,8,1.57143,1.10204,7,10,13,15,80
13,1,31,2,2,67.2882,61.429,686.825,23.168,66.0288,375.723,2.4,5.44,5,2.25,2.6875,4,2.83333,5.47222,6,2.8,9.76,5,10,14,15,80
14,1,31,0,0,24.2076,74.1108,411.54,55.4235,66.6007,683.173,2.125,4.35938,8,1.85714,4.40816,7,1.75,3.9375,8,1.42857,1.10204,7,10,15,15,80
15,0,31,7,7,61.9986,67.4138,411.018,41.1027,57.4998,694.766,2.25,4.6875,4,4.5,36.75,4,2.4,7.84,5,2.25,4.6875,4,10,16,15,80
16,1,31,8,4,16.4442,58.7555,601.582,57.6428,51.8919,758.681,3.25,6.1875,4,4.33333,22.2222,3,2.5,6.75,4,2,2,3,10,17,15,80
17,0,31,12,12,49.6192,52.9873,697.182,24.9117,50.2792,721.544,3,8,3,1,0,2,2.5,6.75,4,3,8,3,10,18,15,80
18,0,31,19,19,67.6443,71.5916,89.1503,56.9207,42.1415,809.983,1,0,2,1,0,1,3.33333,10.8889,3,1,0,2,10,19,15,80
19,0,31,21,21,7.06188,29.0587,907.131,58.6773,64.4804,143.681,4,9,2,1,0,1,1,0,2,1,0,1,10,20,15,80
20,0,31,21,21,-32.9497,15.7991,1504.68,22.2433,48.1196,472.167,4,9,2,1,0,1,1,0,2,1,0,1,10,21,15,80
21,0,31,20,20,2.5171,42.5215,913.157,1.34142,30.9861,918.112,1,0,2,1,0,1,3,8,3,1,0,2,10,22,15,80
22,0,31,20,20,-96.3505,-7.94798,3605.11,-49.4582,18.8255,2149.68,4.5,12.25,2,1,0,1,1,0,2,1,0,1,10,23,15,80
23,0,31,21,21,-83.5489,1.81788,2736.36,-59.4055,23.5177,2029.04,4,9,2,1,0,1,1,0,2,1,0,1,10,24,15,80
24,0,31,21,21,-56.4784,21.065,1806.11,-117.13,-18.0094,4065.67,1,0,1,nan,nan,0,4.5,12.25,2,1,0,1,10,25,15,80
25,1,31,0,0,241.801,179.595,1949.56,208.791,137.79,1341.76,1,0,15,1,0,15,1,0,16,1,0,15,10,1,15,80
26,1,31,0,0,228.906,178.51,1524.66,219.763,148.454,1440.2,1,0,15,1,0,15,1,0,16,1,0,15,10,2,15,80
27,1,31,0,0,242.818,186.016,1783.96,191.722,149.017,598.219,1,0,15,1,0,15,1,0,16,1,0,15,10,3,15,80
28,1,31,0,0,163.815,138.391,382.689,178.358,130.193,651.835,1,0,15,1,0,15,1,0,16,1,0,15,10,4,15,80
29,1,31,0,0,217.031,173.727,1106.34,184.899,138.747,725.762,1,0,15,1,0,15,1,0,16,1,0,15,10,5,15,80
30,1,31,0,0,174.004,137.699,657.865,170.762,132.302,598.584,1,0,15,1,0,15,1,0,16,1,0,15,10,6,15,80
31,1,31,0,0,160.059,131.116,403.882,144.268,110.256,195.677,1,0,15,1,0,15,1,0,16,1,0,15,10,7,15,80
32,1,31,0,0,123.427,120.22,117.448,149.771,113.621,260.332,1,0,15,1,0,15,1,0,16,1,0,15,10,8,15,80
33,1,31,0,0,121.736,112.523,111.164,92.6464,90.3632,37.0102,1,0,15,1,0,15,1,0,16,1,0,15,10,9,15,80
34,1,31,0,0,92.8113,107.294,75.2452,97.3794,99.0555,39.7634,1,0,15,1,0,15,1,0,16,1,0,15,10,10,15,80
35,1,31,0,0,66.008,99.5357,236.888,76.7436,88.9518,67.6386,1.23077,0.331361,13,1,0,12,1,0,13,1.23077,0.331361,13,10,11,15,80
36,1,31,0,0,73.9451,92.5865,127.531,80.2303,88.1215,81.0529,1.07143,0.0663265,14,1.07143,0.0663265,14,1.06667,0.0622222,15,1.07143,0.0663265,14,10,12,15,80
37,1,31,0,0,57.8958,83.4674,196.021,63.7684,81.3962,84.9598,1.36364,0.77686,11,1.2,0.16,10,1.18182,0.14876,11,1.36364,0.77686,11,10,13,15,80
38,1,31,0,0,35.7276,58.1321,724.089,21.6028,64.4655,450.336,2.6,7.44,5,2.5,4.25,4,3,6.33333,6,2.6,7.44,5,10,14,15,80
39,1,31,0,0,44.8332,65.9872,657.433,34.3655,71.6485,298.066,2,4.28571,7,1.66667,1.22222,6,1.57143,1.10204,7,2,4.28571,7,10,15,15,80
40,1,31,5,5,63.872,59.9348,763.807,28.4814,63.682,726.723,2,5,6,1.2,0.16,5,2,4.28571,7,2,5,6,10,16,15,80
41,1,31,7,4,75.6159,57.4529,796.224,21.062,61.2868,502.921,2.75,6.1875,4,1.66667,0.888889,3,2.6,5.44,5,3.75,17.6875,4,10,17,15,80
42,0,31,8,7,6.26629,45.758,1152.11,12.287,66.3365,320.135,4,6,3,1.5,0.25,2,2.75,6.1875,4,6.33333,30.8889,3,10,18,15,80
43,0,31,10,10,42.0902,54.1352,748.312,21.3789,39.6712,931.584,2.75,6.1875,4,3,8,3,2.5,6.75,4,1.33333,0.222222,3,10,19,15,80
44,0,31,18,18,18.4876,35.284,1622.7,33.4163,63.5752,263.882,3.33333,10.8889,3,1,0,2,1,0,3,1,0,2,10,20,15,80
45,0,31,16,16,57.9886,66.1108,220.605,6.47532,41.0334,1022.04,1.66667,0.888889,3,1,0,2,2.5,6.75,4,1.66667,0.888889,3,10,21,15,80
46,0,31,20,20,-58.5844,10.4592,2100.37,-8.18947,38.0038,758.743,4.5,12.25,2,1,0,1,1,0,2,1,0,1,10,22,15,80
47,0,31,21,21,-71.139,2.48198,2462.06,14.4191,44.9038,583.867,4,9,2,1,0,1,1,0,2,1,0,1,10,23,15,80
48,0,31,20,20,-47.1323,6.52563,2183.11,-25.6497,36.2758,1156.33,4.5,12.25,2,1,0,1,1,0,2,1,0,1,10,24,15,80
49,0,31,21,21,-85.9266,4.66341,2945.41,-117.279,-22.2398,4574.34,1,0,1,nan,nan,0,4.5,12.25,2,1,0,1,10,25,15,80
50,1,31,0,0,231.872,168.589,1651.47,245.883,169.29,1891.71,1,0,15,1,0,15,1,0,16,1,0,15,10,1,15,80
51,1,31,0,0,194.768,147.496,975.31,222.877,156.271,1662.11,1,0,15,1,0,15,1,0,16,1,0,15,10,2,15,80
52,1,31,0,0,193.398,148.389,749.739,226.16,160.021,1220.17,1,0,15,1,0,15,1,0,16,1,0,15,10,3,15,80
53,1,31,0,0,239.075,174.843,1426.78,199.556,147.031,1021.27,1,0,15,1,0,15,1,0,16,1,0,15,10,4,15,80
54,1,31,0,0,184.859,159.893,1043.83,169.818,131.899,646.489,1,0,15,1,0,15,1,0,16,1,0,15,10,5,15,80
55,1,31,0,0,165.429,148.875,543.478,159.892,127.329,342.714,1,0,15,1,0,15,1,0,16,1,0,15,10,6,15,80
