Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,N_Total,N_Success,N_Fail_Egg_Time,N_Fail_Egg_Cold,N_Fail_Parent_Dead,Overall_Mean_Energy_F,Overall_Var_Energy_F,Overall_Mean_Energy_M,Overall_Var_Energy_M,Overall_Total_Neglect,Overall_Max_Neglect,Overall_Prop_Neglect,Overall_Hatch_Date,Successful_Mean_Energy_F,Successful_Var_Energy_F,Successful_Mean_Energy_M,Successful_Var_Energy_M,Successful_Total_Neglect,Successful_Max_Neglect,Successful_Prop_Neglect,Successful_Hatch_Date,Successful_Attendance_F,Successful_Prop_F,Successful_Attendance_M,Successful_Prop_M,Rate_Success,Rate_Fail_Egg_Time,Rate_Fail_Egg_Cold,Rate_Fail_Parent_Dead,N_Incubation_Bouts_F,Mean_Incubation_Bout_F,Var_Incubation_Bout_F,N_Foraging_Bouts_F,Mean_Foraging_Bout_F,Var_Foraging_Bout_F,N_Incubation_Bouts_M,Mean_Incubation_Bout_M,Var_Incubation_Bout_M,N_Foraging_Bouts_M,Mean_Foraging_Bout_M,Var_Foraging_Bout_M
300,400,300,400,130,47,1000,17,72,597,314,367.112539,25978.79165,371.776903,26856.28551,25.241,13.395,0.4481302941008434,55.319,469.26176470588234,21300.304117647058,457.1518823529412,20322.512352941176,8.470588235294118,4.0588235294117645,0.15594517313057668,49.529411764705884,27.470588235294116,0.5633913727756341,13.352941176470589,0.2754631130878216,0.017,0.072,0.597,0.314,8.823529411764707,3.129971988795518,1.1615312791783379,9.470588235294118,2.313576945929887,5.077395806807571,8.941176470588236,1.498544266191325,0.8909303115185468,8.529411764705882,4.29784398607928,10.870295390883626
300,400,300,400,140,47,1000,369,168,430,33,422.102626,21404.60065,421.88112,21975.40949,16.101,7.425,0.2744096140071286,55.326,469.21230352303525,19930.506314363145,470.5523035230352,19719.785067750676,7.105691056910569,3.4037940379403793,0.13570227040372945,47.56910569105691,26.523035230352303,0.5699763463763132,13.65040650406504,0.28817004978665683,0.369,0.168,0.43,0.033,8.666666666666666,3.0737583930673362,0.6035763167876989,9.284552845528456,2.286586930082865,7.100083686262548,8.983739837398375,1.526215894915082,0.9694560783991678,8.655826558265582,3.945367241911957,6.332361849231768
300,400,300,400,150,47,1000,897,29,73,1,511.511429,18315.22029,500.163325,17908.06757,4.85,2.69,0.09266059315199471,43.964,522.5540100334448,17816.380847268672,509.873624303233,17563.357714604237,3.450390189520624,1.9888517279821627,0.07047071050569165,42.22742474916388,26.50055741360089,0.6391999284993326,12.130434782608695,0.2869021188988,0.897,0.029,0.073,0.001,8.65551839464883,3.0738241227371663,0.5373898645637776,9.18840579710145,1.728167886863539,3.6631100783274695,9.068004459308806,1.347178948265905,0.7242054644228557,8.681159420289855,3.485086491608231,2.8621112381981946
300,400,300,400,160,47,1000,997,0,3,0,602.967633,13074.40307,587.482975,12436.28809,0.698,0.496,0.015457829840277623,38.079,603.3661394182548,13028.936278836509,587.935145436309,12410.08925777332,0.6629889669007021,0.4724172517552658,0.014835287293893096,38.03109327983952,26.803410230692077,0.7076246855189487,10.517552657973921,0.27631972490086715,0.997,0,0.003,0,8.783350050150451,3.059181404241585,0.37831861385020865,9.420260782347041,1.2056678332255062,0.8201991616986601,9.382146439317953,1.1307139672987216,0.2921298165781616,8.792377131394183,3.14120239506398,0.7730874441506337
300,400,300,400,170,47,1000,1000,0,0,0,701.948236,8576.56638,667.119928,8193.09696,0.046,0.038,0.0010774018229832184,37.071,701.948236,8576.56638,667.119928,8193.09696,0.046,0.038,0.0010774018229832184,37.071,26.976,0.7278614877412551,10.043,0.270906219830871,1,0,0,0,8.957,3.0127678571428573,0.06658134920634921,9.814,1.032061111111111,0.0837452380952381,9.809,1.0268972222222221,0.056758333333333334,8.958,3.0187519841269843,0.10850595238095238
300,400,300,400,162,47,1000,1000,0,0,0,626.173309,11182.56205,604.36584,11155.11115,0.422,0.315,0.009598679703318546,37.668,626.173309,11182.56205,604.36584,11155.11115,0.422,0.315,0.009598679703318546,37.668,26.906,0.7161167574852761,10.31,0.27352247777657185,1,0,0,0,8.884,3.0319400793650795,0.20533214285714285,9.566,1.1338420274170273,0.41534354256854256,9.525,1.0899108585858586,0.17885097402597402,8.873,3.088804365079365,0.5048178571428571
300,400,300,500,130,47,1000,13,30,698,259,359.214012,25715.75353,407.799258,23603.3675,27.049,15.705,0.47094640075666416,56.475,440.4209230769231,20015.953076923077,501.9420769230769,16980.76153846154,7.615384615384615,4.076923076923077,0.1509462296290452,48.30769230769231,24.76923076923077,0.518825467874495,15.538461538461538,0.32250457349943884,0.013,0.03,0.698,0.259,7.923076923076923,3.1365995115995116,0.7052808302808302,8.538461538461538,2.8071733821733824,9.841117216117215,7.769230769230769,2.0265567765567765,2.728021978021978,7.538461538461538,4.372557997557998,8.59600122100122
300,400,300,500,140,47,1000,305,134,530,31,411.001394,21784.99032,461.119842,17729.55783,17.419,8.558,0.2948839591066788,56.329,462.93060983606557,20915.468721311474,511.0934163934426,15229.989639344263,7.334426229508197,3.7934426229508196,0.14093152045351773,47.927868852459014,26.009836065573772,0.5535278736694508,14.314754098360655,0.29970366583829194,0.305,0.134,0.53,0.031,8.229508196721312,3.178238946845504,0.733810588318785,8.868852459016393,2.5150624512099924,8.457678305301256,8.111475409836066,1.7877504553734063,2.0560512620348685,7.740983606557377,4.405986208691127,10.422080405932865
300,400,300,500,150,47,1000,862,34,103,1,496.821026,20143.19306,531.946223,13540.39892,5.657,3.21,0.10718143976816569,45.103,510.40337006960556,19779.15251740139,542.7081218097447,13047.937749419954,3.9396751740139213,2.3375870069605567,0.07998258219473726,42.953596287703014,26.344547563805104,0.6254659266630056,12.53016241299304,0.29131803542804996,0.862,0.034,0.103,0.001,8.337587006960558,3.1775702416943714,0.772716851980193,8.874709976798144,1.8929278281656472,4.240111380627622,8.407192575406032,1.5179892645379884,1.386396070415792,8.009280742459397,3.86164420137738,5.643498876735536
300,400,300,500,160,47,1000,995,1,4,0,590.891623,14529.69641,607.844005,9686.19993,0.987,0.72,0.02168171964236739,38.531,591.6318,14470.30975879397,608.4970582914573,9668.061346733668,0.9276381909547738,0.6844221105527638,0.020651563875411536,38.44522613065327,26.744723618090454,0.6997554938527777,10.734673366834171,0.27862409568119295,0.995,0.001,0.004,0,8.633165829145728,3.111302943287868,0.4873490468214086,9.17286432160804,1.2954138296098094,1.1560386709884198,9.047236180904523,1.2057031187684455,0.5338653585387254,8.54572864321608,3.268285873813512,1.3314947754646247
300,400,300,500,170,47,1000,1000,0,0,0,693.896146,9142.15996,679.275637,7375.69333,0.063,0.057,0.0015224812374458481,37.102,693.896146,9142.15996,679.275637,7375.69333,0.063,0.057,0.0015224812374458481,37.102,27.101,0.7306737796410951,9.934,0.267699685067405,1,0,0,0,8.895,3.051638888888889,0.18733333333333332,9.64,1.0426984848484848,0.09923030303030303,9.625,1.0372559523809524,0.0808765873015873,8.884,3.0643511904761906,0.24027103174603176
300,400,300,500,162,47,1000,997,0,3,0,616.419628,13165.41304,620.441587,8853.16342,0.612,0.455,0.013680379953326877,37.96,616.8896238716148,13128.837652958877,620.8214553660983,8835.916770310932,0.5847542627883651,0.4312938816449348,0.013158408053182157,37.9197592778335,26.91775325977934,0.7126314626786989,10.396188565697091,0.2736611645860573,0.997,0,0.003,0,8.68605817452357,3.111041855725908,0.46913120313320916,9.264794383149448,1.2052356564643425,0.7604526060142911,9.18555667001003,1.1490467434048177,0.3912017799430036,8.627883650952858,3.2144779576825715,0.9712164270589546
300,400,300,600,130,47,1000,13,27,722,238,351.97604,25372.95341,456.455753,21721.64994,27.6,16.593,0.4806007110458203,56.58,448.52653846153845,24411.507692307692,554.4083846153846,12788.838461538462,8.76923076923077,4.3076923076923075,0.1683840955982892,50,25.846153846153847,0.5220337389989781,15.307692307692308,0.3077506635712309,0.013,0.027,0.722,0.238,7.615384615384615,3.43482905982906,2.129822954822955,8.307692307692308,2.9234737484737483,8.640934065934067,7,2.2202380952380953,4.710347985347985,6.384615384615385,5.534065934065934,19.47069597069597
300,400,300,600,140,47,1000,241,132,598,29,398.095689,21823.37811,509.853254,15729.37825,18.669,9.376,0.3141042507931185,57.293,450.917622406639,22018.91319502075,560.3726804979253,12340.82112033195,7.838174273858921,4.157676348547718,0.14952297437220147,48.655601659751035,25.726141078838175,0.5388114923601455,14.867219917012449,0.3068833623832477,0.241,0.132,0.598,0.029,7.763485477178423,3.343654835252346,1.317462562794513,8.394190871369295,2.7830213815690996,9.023951428930681,7.33609958506224,2.082574260686294,3.8330023710729106,6.929460580912863,4.997480735032602,13.806401896858329
