Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Egg_Neglect_Max,Success,Fail_Dead_Parent,Fail_Egg_Neglect_Max,Fail_Egg_Neglect_Cumulative
400,700,400,700,130,47,0,1,0,0.071,0.929,0
400,700,400,700,130,47,0,2,0,0.081,0.919,0
400,700,400,700,130,47,0,3,0,0.092,0.908,0
400,700,400,700,130,47,0,4,0.001,0.095,0.904,0
400,700,400,700,130,47,0,5,0,0.09,0.91,0
400,700,400,700,130,47,0,6,0,0.082,0.917,0.001
400,700,400,700,130,47,0,7,0,0.078,0.922,0
400,700,400,700,140,47,0,1,0.001,0.002,0.997,0
400,700,400,700,140,47,0,2,0.007,0.004,0.989,0
400,700,400,700,140,47,0,3,0.014,0.004,0.982,0
400,700,400,700,140,47,0,4,0.015,0.003,0.982,0
400,700,400,700,140,47,0,5,0.033,0.006,0.96,0.001
400,700,400,700,140,47,0,6,0.045,0.004,0.943,0.008
400,700,400,700,140,47,0,7,0.064,0.004,0.907,0.025
400,700,400,700,150,47,0,1,0.068,0,0.932,0
400,700,400,700,150,47,0,2,0.112,0,0.888,0
400,700,400,700,150,47,0,3,0.149,0,0.851,0
400,700,400,700,150,47,0,4,0.222,0,0.778,0
400,700,400,700,150,47,0,5,0.327,0,0.673,0
400,700,400,700,150,47,0,6,0.412,0,0.577,0.011
400,700,400,700,150,47,0,7,0.495,0,0.48,0.025
400,700,400,700,160,47,0,1,0.39,0,0.61,0
400,700,400,700,160,47,0,2,0.505,0,0.495,0
400,700,400,700,160,47,0,3,0.599,0,0.401,0
400,700,400,700,160,47,0,4,0.677,0,0.323,0
400,700,400,700,160,47,0,5,0.784,0,0.216,0
400,700,400,700,160,47,0,6,0.852,0,0.148,0
400,700,400,700,160,47,0,7,0.91,0,0.088,0.002
400,700,400,700,170,47,0,1,0.809,0,0.191,0
400,700,400,700,170,47,0,2,0.877,0,0.123,0
400,700,400,700,170,47,0,3,0.934,0,0.066,0
400,700,400,700,170,47,0,4,0.964,0,0.036,0
400,700,400,700,170,47,0,5,0.979,0,0.021,0
400,700,400,700,170,47,0,6,0.991,0,0.009,0
400,700,400,700,170,47,0,7,0.994,0,0.006,0
400,700,400,800,130,47,0,1,0,0.066,0.934,0
400,700,400,800,130,47,0,2,0,0.083,0.917,0
400,700,400,800,130,47,0,3,0,0.077,0.923,0
400,700,400,800,130,47,0,4,0,0.089,0.911,0
400,700,400,800,130,47,0,5,0,0.079,0.921,0
400,700,400,800,130,47,0,6,0.002,0.07,0.928,0
400,700,400,800,130,47,0,7,0,0.08,0.918,0.002
400,700,400,800,140,47,0,1,0.002,0.004,0.994,0
400,700,400,800,140,47,0,2,0.002,0.002,0.996,0
400,700,400,800,140,47,0,3,0.005,0.006,0.989,0
400,700,400,800,140,47,0,4,0.011,0.004,0.985,0
400,700,400,800,140,47,0,5,0.02,0.003,0.977,0
400,700,400,800,140,47,0,6,0.021,0.01,0.965,0.004
400,700,400,800,140,47,0,7,0.037,0.003,0.944,0.016
400,700,400,800,150,47,0,1,0.048,0,0.952,0
400,700,400,800,150,47,0,2,0.065,0,0.935,0
400,700,400,800,150,47,0,3,0.106,0,0.894,0
400,700,400,800,150,47,0,4,0.185,0,0.815,0
400,700,400,800,150,47,0,5,0.263,0,0.735,0.002
400,700,400,800,150,47,0,6,0.323,0,0.67,0.007
400,700,400,800,150,47,0,7,0.419,0,0.555,0.026
400,700,400,800,160,47,0,1,0.276,0,0.724,0
400,700,400,800,160,47,0,2,0.398,0,0.602,0
400,700,400,800,160,47,0,3,0.505,0,0.495,0
400,700,400,800,160,47,0,4,0.594,0,0.406,0
400,700,400,800,160,47,0,5,0.707,0,0.293,0
400,700,400,800,160,47,0,6,0.762,0,0.238,0
400,700,400,800,160,47,0,7,0.857,0,0.143,0
400,700,400,800,170,47,0,1,0.761,0,0.239,0
400,700,400,800,170,47,0,2,0.834,0,0.166,0
400,700,400,800,170,47,0,3,0.894,0,0.106,0
400,700,400,800,170,47,0,4,0.936,0,0.064,0
400,700,400,800,170,47,0,5,0.953,0,0.047,0
400,700,400,800,170,47,0,6,0.973,0,0.027,0
400,700,400,800,170,47,0,7,0.991,0,0.009,0
400,700,400,900,130,47,0,1,0,0.062,0.938,0
400,700,400,900,130,47,0,2,0,0.074,0.926,0
400,700,400,900,130,47,0,3,0,0.1,0.9,0
400,700,400,900,130,47,0,4,0,0.07,0.93,0
400,700,400,900,130,47,0,5,0,0.071,0.929,0
400,700,400,900,130,47,0,6,0.001,0.078,0.921,0
400,700,400,900,130,47,0,7,0.001,0.064,0.935,0
400,700,400,900,140,47,0,1,0.001,0.003,0.996,0
400,700,400,900,140,47,0,2,0.002,0.003,0.995,0
400,700,400,900,140,47,0,3,0.004,0.005,0.991,0
400,700,400,900,140,47,0,4,0.006,0.001,0.993,0
400,700,400,900,140,47,0,5,0.013,0.002,0.985,0
400,700,400,900,140,47,0,6,0.018,0.004,0.978,0
400,700,400,900,140,47,0,7,0.028,0.004,0.958,0.01
400,700,400,900,150,47,0,1,0.03,0.001,0.969,0
400,700,400,900,150,47,0,2,0.043,0,0.957,0
400,700,400,900,150,47,0,3,0.08,0.001,0.919,0
400,700,400,900,150,47,0,4,0.111,0,0.889,0
400,700,400,900,150,47,0,5,0.191,0,0.809,0
400,700,400,900,150,47,0,6,0.248,0.001,0.747,0.004
400,700,400,900,150,47,0,7,0.342,0,0.635,0.023
400,700,400,900,160,47,0,1,0.206,0,0.794,0
400,700,400,900,160,47,0,2,0.323,0,0.677,0
400,700,400,900,160,47,0,3,0.417,0,0.583,0
400,700,400,900,160,47,0,4,0.512,0,0.488,0
400,700,400,900,160,47,0,5,0.63,0,0.37,0
400,700,400,900,160,47,0,6,0.73,0,0.27,0
400,700,400,900,160,47,0,7,0.822,0,0.174,0.004
400,700,400,900,170,47,0,1,0.627,0,0.373,0
400,700,400,900,170,47,0,2,0.735,0,0.265,0
400,700,400,900,170,47,0,3,0.814,0,0.186,0
400,700,400,900,170,47,0,4,0.9,0,0.1,0
400,700,400,900,170,47,0,5,0.937,0,0.063,0
400,700,400,900,170,47,0,6,0.964,0,0.036,0
400,700,400,900,170,47,0,7,0.977,0,0.023,0
400,700,500,700,130,47,0,1,0,0.054,0.946,0
400,700,500,700,130,47,0,2,0,0.054,0.946,0
400,700,500,700,130,47,0,3,0.001,0.064,0.935,0
400,700,500,700,130,47,0,4,0,0.073,0.927,0
400,700,500,700,130,47,0,5,0.001,0.06,0.939,0
400,700,500,700,130,47,0,6,0,0.073,0.926,0.001
400,700,500,700,130,47,0,7,0.002,0.049,0.947,0.002
400,700,500,700,140,47,0,1,0.002,0.005,0.993,0
400,700,500,700,140,47,0,2,0.004,0.001,0.995,0
400,700,500,700,140,47,0,3,0.005,0.002,0.993,0
400,700,500,700,140,47,0,4,0.01,0.001,0.989,0
400,700,500,700,140,47,0,5,0.032,0.005,0.959,0.004
400,700,500,700,140,47,0,6,0.04,0.004,0.938,0.018
400,700,500,700,140,47,0,7,0.052,0.003,0.872,0.073
400,700,500,700,150,47,0,1,0.035,0,0.965,0
400,700,500,700,150,47,0,2,0.06,0,0.94,0
400,700,500,700,150,47,0,3,0.13,0,0.87,0
400,700,500,700,150,47,0,4,0.214,0,0.786,0
400,700,500,700,150,47,0,5,0.296,0,0.693,0.011
400,700,500,700,150,47,0,6,0.413,0,0.561,0.026
400,700,500,700,150,47,0,7,0.493,0,0.43,0.077
400,700,500,700,160,47,0,1,0.299,0,0.701,0
400,700,500,700,160,47,0,2,0.413,0,0.587,0
400,700,500,700,160,47,0,3,0.528,0,0.472,0
400,700,500,700,160,47,0,4,0.693,0,0.307,0
400,700,500,700,160,47,0,5,0.794,0,0.205,0.001
400,700,500,700,160,47,0,6,0.862,0,0.134,0.004
400,700,500,700,160,47,0,7,0.923,0,0.074,0.003
400,700,500,700,170,47,0,1,0.739,0,0.261,0
400,700,500,700,170,47,0,2,0.842,0,0.158,0
400,700,500,700,170,47,0,3,0.891,0,0.109,0
400,700,500,700,170,47,0,4,0.941,0,0.059,0
400,700,500,700,170,47,0,5,0.976,0,0.024,0
400,700,500,700,170,47,0,6,0.989,0,0.011,0
400,700,500,700,170,47,0,7,0.996,0,0.004,0
400,700,500,800,130,47,0,1,0,0.071,0.929,0
