Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Success,Fail_Dead_Parent,Fail_Egg_Neglect_Max,Fail_Egg_Neglect_Cumulative
200,300,200,300,130,47,0,0.077,0.556,0.323,0.044
200,300,200,300,130,47,1,0.013,0.886,0.083,0.018
200,300,200,300,140,47,0,0.546,0.137,0.224,0.093
200,300,200,300,140,47,1,0.227,0.482,0.219,0.072
200,300,200,300,150,47,0,0.969,0.002,0.024,0.005
200,300,200,300,150,47,1,0.778,0.133,0.059,0.03
200,300,200,300,160,47,0,0.998,0,0.002,0
200,300,200,300,160,47,1,0.967,0.03,0.002,0.001
200,300,200,300,170,47,0,1,0,0,0
200,300,200,300,170,47,1,0.993,0.007,0,0
200,300,200,400,130,47,0,0.054,0.502,0.414,0.03
200,300,200,400,130,47,1,0.007,0.84,0.145,0.008
200,300,200,400,140,47,0,0.507,0.096,0.336,0.061
200,300,200,400,140,47,1,0.175,0.431,0.338,0.056
200,300,200,400,150,47,0,0.945,0.006,0.044,0.005
200,300,200,400,150,47,1,0.74,0.127,0.111,0.022
200,300,200,400,160,47,0,0.999,0,0.001,0
200,300,200,400,160,47,1,0.966,0.023,0.011,0
200,300,200,400,170,47,0,1,0,0,0
200,300,200,400,170,47,1,0.997,0.003,0,0
200,300,200,500,130,47,0,0.032,0.466,0.472,0.03
200,300,200,500,130,47,1,0.003,0.836,0.153,0.008
200,300,200,500,140,47,0,0.4,0.124,0.404,0.072
200,300,200,500,140,47,1,0.152,0.423,0.372,0.053
200,300,200,500,150,47,0,0.924,0.014,0.059,0.003
200,300,200,500,150,47,1,0.679,0.141,0.156,0.024
200,300,200,500,160,47,0,0.997,0.001,0.002,0
200,300,200,500,160,47,1,0.95,0.028,0.022,0
200,300,200,500,170,47,0,1,0,0,0
200,300,200,500,170,47,1,0.996,0.004,0,0
200,300,200,600,130,47,0,0.021,0.481,0.472,0.026
200,300,200,600,130,47,1,0.009,0.847,0.139,0.005
200,300,200,600,140,47,0,0.353,0.129,0.443,0.075
200,300,200,600,140,47,1,0.104,0.492,0.356,0.048
200,300,200,600,150,47,0,0.874,0.013,0.098,0.015
200,300,200,600,150,47,1,0.581,0.204,0.179,0.036
200,300,200,600,160,47,0,0.995,0,0.005,0
200,300,200,600,160,47,1,0.937,0.038,0.022,0.003
200,300,200,600,170,47,0,1,0,0,0
200,300,200,600,170,47,1,0.997,0.001,0.002,0
200,300,200,700,130,47,0,0.017,0.469,0.495,0.019
200,300,200,700,130,47,1,0,0.876,0.119,0.005
200,300,200,700,140,47,0,0.288,0.139,0.478,0.095
200,300,200,700,140,47,1,0.055,0.579,0.314,0.052
200,300,200,700,150,47,0,0.822,0.027,0.128,0.023
200,300,200,700,150,47,1,0.437,0.304,0.218,0.041
200,300,200,700,160,47,0,0.993,0.001,0.006,0
200,300,200,700,160,47,1,0.859,0.097,0.039,0.005
200,300,200,700,170,47,0,0.999,0,0.001,0
200,300,200,700,170,47,1,0.987,0.011,0.002,0
200,300,200,800,130,47,0,0.011,0.5,0.473,0.016
200,300,200,800,130,47,1,0,0.877,0.121,0.002
200,300,200,800,140,47,0,0.255,0.139,0.514,0.092
200,300,200,800,140,47,1,0.039,0.674,0.251,0.036
200,300,200,800,150,47,0,0.791,0.018,0.147,0.044
200,300,200,800,150,47,1,0.338,0.36,0.245,0.057
200,300,200,800,160,47,0,0.986,0.006,0.006,0.002
200,300,200,800,160,47,1,0.786,0.137,0.074,0.003
200,300,200,800,170,47,0,1,0,0,0
200,300,200,800,170,47,1,0.96,0.036,0.004,0
200,300,200,900,130,47,0,0.012,0.458,0.507,0.023
200,300,200,900,130,47,1,0,0.881,0.119,0
200,300,200,900,140,47,0,0.164,0.169,0.562,0.105
200,300,200,900,140,47,1,0.021,0.687,0.25,0.042
200,300,200,900,150,47,0,0.721,0.015,0.196,0.068
200,300,200,900,150,47,1,0.264,0.462,0.206,0.068
200,300,200,900,160,47,0,0.977,0.002,0.019,0.002
200,300,200,900,160,47,1,0.669,0.239,0.083,0.009
200,300,200,900,170,47,0,0.999,0,0.001,0
200,300,200,900,170,47,1,0.918,0.069,0.013,0
200,300,200,1000,130,47,0,0.007,0.495,0.479,0.019
200,300,200,1000,130,47,1,0,0.89,0.105,0.005
200,300,200,1000,140,47,0,0.122,0.169,0.584,0.125
200,300,200,1000,140,47,1,0.016,0.68,0.268,0.036
200,300,200,1000,150,47,0,0.642,0.021,0.227,0.11
200,300,200,1000,150,47,1,0.198,0.491,0.233,0.078
200,300,200,1000,160,47,0,0.958,0.007,0.031,0.004
200,300,200,1000,160,47,1,0.588,0.309,0.083,0.02
200,300,200,1000,170,47,0,0.997,0.001,0.002,0
200,300,200,1000,170,47,1,0.841,0.147,0.012,0
200,300,300,400,130,47,0,0.044,0.422,0.468,0.066
200,300,300,400,130,47,1,0.003,0.793,0.192,0.012
200,300,300,400,140,47,0,0.477,0.091,0.318,0.114
200,300,300,400,140,47,1,0.165,0.391,0.328,0.116
200,300,300,400,150,47,0,0.933,0.008,0.044,0.015
200,300,300,400,150,47,1,0.765,0.107,0.085,0.043
200,300,300,400,160,47,0,0.997,0.001,0.002,0
200,300,300,400,160,47,1,0.971,0.024,0.004,0.001
200,300,300,400,170,47,0,1,0,0,0
200,300,300,400,170,47,1,0.997,0.003,0,0
200,300,300,500,130,47,0,0.034,0.474,0.462,0.03
200,300,300,500,130,47,1,0.002,0.814,0.175,0.009
200,300,300,500,140,47,0,0.387,0.098,0.398,0.117
200,300,300,500,140,47,1,0.136,0.421,0.368,0.075
200,300,300,500,150,47,0,0.892,0.008,0.084,0.016
200,300,300,500,150,47,1,0.687,0.119,0.161,0.033
200,300,300,500,160,47,0,1,0,0,0
200,300,300,500,160,47,1,0.947,0.03,0.021,0.002
200,300,300,500,170,47,0,1,0,0,0
200,300,300,500,170,47,1,0.994,0.005,0.001,0
200,300,300,600,130,47,0,0.023,0.454,0.496,0.027
200,300,300,600,130,47,1,0.003,0.842,0.15,0.005
200,300,300,600,140,47,0,0.321,0.12,0.47,0.089
200,300,300,600,140,47,1,0.086,0.49,0.347,0.077
200,300,300,600,150,47,0,0.889,0.004,0.088,0.019
200,300,300,600,150,47,1,0.589,0.18,0.19,0.041
200,300,300,600,160,47,0,0.996,0.001,0.003,0
200,300,300,600,160,47,1,0.923,0.046,0.028,0.003
200,300,300,600,170,47,0,1,0,0,0
200,300,300,600,170,47,1,0.997,0.003,0,0
200,300,300,700,130,47,0,0.021,0.464,0.494,0.021
200,300,300,700,130,47,1,0.002,0.858,0.134,0.006
200,300,300,700,140,47,0,0.279,0.117,0.505,0.099
200,300,300,700,140,47,1,0.073,0.58,0.296,0.051
200,300,300,700,150,47,0,0.812,0.016,0.135,0.037
200,300,300,700,150,47,1,0.459,0.27,0.222,0.049
200,300,300,700,160,47,0,0.99,0,0.009,0.001
200,300,300,700,160,47,1,0.882,0.072,0.045,0.001
200,300,300,700,170,47,0,1,0,0,0
200,300,300,700,170,47,1,0.984,0.015,0.001,0
200,300,300,800,130,47,0,0.006,0.46,0.518,0.016
200,300,300,800,130,47,1,0.001,0.885,0.11,0.004
200,300,300,800,140,47,0,0.19,0.137,0.544,0.129
200,300,300,800,140,47,1,0.045,0.662,0.254,0.039
200,300,300,800,150,47,0,0.765,0.021,0.159,0.055
200,300,300,800,150,47,1,0.35,0.356,0.236,0.058
200,300,300,800,160,47,0,0.982,0.003,0.013,0.002
200,300,300,800,160,47,1,0.779,0.156,0.063,0.002
200,300,300,800,170,47,0,1,0,0,0
200,300,300,800,170,47,1,0.954,0.036,0.01,0
200,300,300,900,130,47,0,0.011,0.491,0.484,0.014
200,300,300,900,130,47,1,0,0.87,0.127,0.003
200,300,300,900,140,47,0,0.159,0.154,0.567,0.12
200,300,300,900,140,47,1,0.018,0.678,0.266,0.038
200,300,300,900,150,47,0,0.693,0.022,0.214,0.071
200,300,300,900,150,47,1,0.241,0.474,0.23,0.055
200,300,300,900,160,47,0,0.971,0.004,0.02,0.005
200,300,300,900,160,47,1,0.68,0.223,0.088,0.009
200,300,300,900,170,47,0,0.999,0,0.001,0
200,300,300,900,170,47,1,0.902,0.084,0.014,0
200,300,300,1000,130,47,0,0.007,0.48,0.502,0.011
200,300,300,1000,130,47,1,0,0.883,0.114,0.003
200,300,300,1000,140,47,0,0.137,0.139,0.609,0.115
200,300,300,1000,140,47,1,0.01,0.719,0.23,0.041
200,300,300,1000,150,47,0,0.622,0.022,0.246,0.11
200,300,300,1000,150,47,1,0.201,0.479,0.244,0.076
200,300,300,1000,160,47,0,0.964,0.004,0.03,0.002
