Min_Energy_Thresh_F,Max_Energy_Thresh_F,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Success,Fail_Dead_Parent,Fail_Egg_Neglect_Max,Fail_Egg_Neglect_Cumulative
200,300,130,47,0,0,0.461,0.537,0.002
200,300,130,47,1,0,0.933,0.067,0
200,300,140,47,0,0,0.126,0.84,0.034
200,300,140,47,1,0,0.859,0.135,0.006
200,300,150,47,0,0,0.034,0.776,0.19
200,300,150,47,1,0,0.786,0.182,0.032
200,300,160,47,0,0,0.012,0.499,0.489
200,300,160,47,1,0,0.739,0.159,0.102
200,300,170,47,0,0,0,0.214,0.786
200,300,170,47,1,0,0.728,0.089,0.183
200,300,180,47,0,0,0,0.068,0.932
200,300,180,47,1,0,0.687,0.037,0.276
200,300,190,47,0,0,0,0.018,0.982
200,300,190,47,1,0,0.649,0.017,0.334
200,300,200,47,0,0.002,0,0.002,0.996
200,300,200,47,1,0.001,0.58,0.005,0.414
200,300,210,47,0,0.024,0,0,0.976
200,300,210,47,1,0.01,0.535,0.003,0.452
200,300,220,47,0,0.134,0,0,0.866
200,300,220,47,1,0.075,0.405,0.001,0.519
200,300,230,47,0,0.386,0,0,0.614
200,300,230,47,1,0.21,0.325,0.002,0.463
200,300,240,47,0,0.681,0,0,0.319
200,300,240,47,1,0.436,0.243,0,0.321
200,300,250,47,0,0.901,0,0,0.099
200,300,250,47,1,0.668,0.191,0.003,0.138
200,300,260,47,0,0.974,0,0,0.026
200,300,260,47,1,0.721,0.213,0.002,0.064
200,300,270,47,0,0.998,0,0,0.002
200,300,270,47,1,0.721,0.243,0.001,0.035
200,300,280,47,0,1,0,0,0
200,300,280,47,1,0.689,0.29,0,0.021
200,300,290,47,0,1,0,0,0
200,300,290,47,1,0.577,0.404,0,0.019
200,300,300,47,0,1,0,0,0
200,300,300,47,1,0.517,0.475,0,0.008
200,300,310,47,0,1,0,0,0
200,300,310,47,1,0.459,0.537,0,0.004
200,300,320,47,0,1,0,0,0
200,300,320,47,1,0.398,0.602,0,0
200,300,330,47,0,1,0,0,0
200,300,330,47,1,0.37,0.63,0,0
200,300,340,47,0,1,0,0,0
200,300,340,47,1,0.391,0.609,0,0
200,300,350,47,0,1,0,0,0
