Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Success,Fail_Dead_Parent,Fail_Egg_Neglect_Max,Fail_Egg_Neglect_Cumulative
200,300,200,300,130,47,0,0.081,0.567,0.311,0.041
200,300,200,300,130,47,1,0,0.969,0.024,0.007
200,300,200,300,140,47,0,0.58,0.105,0.24,0.075
200,300,200,300,140,47,1,0.077,0.775,0.109,0.039
200,300,200,300,150,47,0,0.961,0.012,0.023,0.004
200,300,200,300,150,47,1,0.508,0.399,0.063,0.03
200,300,200,300,160,47,0,1,0,0,0
200,300,200,300,160,47,1,0.845,0.15,0.005,0
200,300,200,300,170,47,0,1,0,0,0
200,300,200,300,170,47,1,0.967,0.033,0,0
200,300,200,400,130,47,0,0.049,0.523,0.395,0.033
200,300,200,400,130,47,1,0.002,0.974,0.024,0
200,300,200,400,140,47,0,0.499,0.124,0.319,0.058
200,300,200,400,140,47,1,0.062,0.805,0.112,0.021
200,300,200,400,150,47,0,0.948,0.007,0.039,0.006
200,300,200,400,150,47,1,0.442,0.432,0.104,0.022
200,300,200,400,160,47,0,0.997,0,0.003,0
200,300,200,400,160,47,1,0.807,0.175,0.017,0.001
200,300,200,400,170,47,0,1,0,0,0
200,300,200,400,170,47,1,0.951,0.049,0,0
200,300,200,500,130,47,0,0.047,0.472,0.441,0.04
200,300,200,500,130,47,1,0.002,0.947,0.048,0.003
200,300,200,500,140,47,0,0.4,0.105,0.406,0.089
200,300,200,500,140,47,1,0.055,0.705,0.215,0.025
200,300,200,500,150,47,0,0.914,0.012,0.062,0.012
200,300,200,500,150,47,1,0.404,0.381,0.184,0.031
200,300,200,500,160,47,0,0.998,0,0.002,0
200,300,200,500,160,47,1,0.838,0.132,0.028,0.002
200,300,200,500,170,47,0,1,0,0,0
200,300,200,500,170,47,1,0.965,0.034,0.001,0
200,300,200,600,130,47,0,0.029,0.459,0.491,0.021
200,300,200,600,130,47,1,0,0.948,0.05,0.002
200,300,200,600,140,47,0,0.358,0.112,0.449,0.081
200,300,200,600,140,47,1,0.055,0.7,0.213,0.032
200,300,200,600,150,47,0,0.879,0.013,0.09,0.018
200,300,200,600,150,47,1,0.377,0.373,0.21,0.04
200,300,200,600,160,47,0,0.992,0,0.008,0
200,300,200,600,160,47,1,0.796,0.158,0.042,0.004
200,300,200,600,170,47,0,1,0,0,0
200,300,200,600,170,47,1,0.954,0.04,0.006,0
200,300,200,700,130,47,0,0.024,0.5,0.45,0.026
200,300,200,700,130,47,1,0,0.952,0.046,0.002
200,300,200,700,140,47,0,0.309,0.131,0.466,0.094
200,300,200,700,140,47,1,0.023,0.767,0.19,0.02
200,300,200,700,150,47,0,0.826,0.023,0.118,0.033
200,300,200,700,150,47,1,0.267,0.491,0.208,0.034
200,300,200,700,160,47,0,0.991,0.001,0.008,0
200,300,200,700,160,47,1,0.733,0.198,0.065,0.004
200,300,200,700,170,47,0,1,0,0,0
200,300,200,700,170,47,1,0.939,0.056,0.005,0
200,300,200,800,130,47,0,0.016,0.518,0.444,0.022
200,300,200,800,130,47,1,0,0.957,0.043,0
200,300,200,800,140,47,0,0.23,0.125,0.541,0.104
200,300,200,800,140,47,1,0.012,0.851,0.125,0.012
200,300,200,800,150,47,0,0.772,0.022,0.162,0.044
200,300,200,800,150,47,1,0.186,0.601,0.184,0.029
200,300,200,800,160,47,0,0.987,0.001,0.01,0.002
200,300,200,800,160,47,1,0.587,0.315,0.083,0.015
200,300,200,800,170,47,0,1,0,0,0
200,300,200,800,170,47,1,0.875,0.113,0.012,0
200,300,200,900,130,47,0,0.009,0.489,0.489,0.013
200,300,200,900,130,47,1,0,0.948,0.052,0
200,300,200,900,140,47,0,0.182,0.157,0.544,0.117
200,300,200,900,140,47,1,0.005,0.859,0.118,0.018
200,300,200,900,150,47,0,0.72,0.029,0.18,0.071
200,300,200,900,150,47,1,0.108,0.708,0.154,0.03
200,300,200,900,160,47,0,0.98,0.004,0.014,0.002
200,300,200,900,160,47,1,0.423,0.464,0.1,0.013
200,300,200,900,170,47,0,0.999,0,0.001,0
200,300,200,900,170,47,1,0.771,0.211,0.018,0
200,300,200,1000,130,47,0,0.004,0.461,0.523,0.012
200,300,200,1000,130,47,1,0,0.952,0.048,0
200,300,200,1000,140,47,0,0.14,0.141,0.575,0.144
200,300,200,1000,140,47,1,0.002,0.855,0.127,0.016
200,300,200,1000,150,47,0,0.648,0.026,0.237,0.089
200,300,200,1000,150,47,1,0.068,0.739,0.138,0.055
200,300,200,1000,160,47,0,0.955,0.003,0.03,0.012
200,300,200,1000,160,47,1,0.346,0.539,0.087,0.028
200,300,200,1000,170,47,0,0.999,0,0.001,0
200,300,200,1000,170,47,1,0.622,0.354,0.023,0.001
200,300,300,400,130,47,0,0.044,0.449,0.431,0.076
200,300,300,400,130,47,1,0.002,0.971,0.026,0.001
200,300,300,400,140,47,0,0.468,0.085,0.31,0.137
200,300,300,400,140,47,1,0.068,0.797,0.102,0.033
200,300,300,400,150,47,0,0.952,0.005,0.03,0.013
200,300,300,400,150,47,1,0.415,0.469,0.08,0.036
200,300,300,400,160,47,0,1,0,0,0
200,300,300,400,160,47,1,0.813,0.178,0.009,0
200,300,300,400,170,47,0,1,0,0,0
200,300,300,400,170,47,1,0.951,0.049,0,0
200,300,300,500,130,47,0,0.032,0.417,0.525,0.026
200,300,300,500,130,47,1,0,0.942,0.057,0.001
200,300,300,500,140,47,0,0.391,0.102,0.405,0.102
200,300,300,500,140,47,1,0.055,0.7,0.203,0.042
200,300,300,500,150,47,0,0.924,0.01,0.054,0.012
200,300,300,500,150,47,1,0.458,0.356,0.152,0.034
200,300,300,500,160,47,0,0.998,0,0.002,0
200,300,300,500,160,47,1,0.815,0.147,0.035,0.003
200,300,300,500,170,47,0,1,0,0,0
200,300,300,500,170,47,1,0.976,0.023,0.001,0
200,300,300,600,130,47,0,0.02,0.444,0.513,0.023
200,300,300,600,130,47,1,0,0.938,0.06,0.002
200,300,300,600,140,47,0,0.34,0.114,0.466,0.08
200,300,300,600,140,47,1,0.035,0.711,0.218,0.036
200,300,300,600,150,47,0,0.868,0.016,0.093,0.023
200,300,300,600,150,47,1,0.366,0.393,0.198,0.043
200,300,300,600,160,47,0,0.996,0,0.004,0
200,300,300,600,160,47,1,0.811,0.141,0.043,0.005
200,300,300,600,170,47,0,1,0,0,0
200,300,300,600,170,47,1,0.95,0.044,0.006,0
200,300,300,700,130,47,0,0.019,0.425,0.528,0.028
200,300,300,700,130,47,1,0.001,0.948,0.049,0.002
200,300,300,700,140,47,0,0.263,0.13,0.513,0.094
200,300,300,700,140,47,1,0.03,0.762,0.191,0.017
200,300,300,700,150,47,0,0.831,0.014,0.124,0.031
200,300,300,700,150,47,1,0.25,0.486,0.224,0.04
200,300,300,700,160,47,0,0.989,0,0.011,0
200,300,300,700,160,47,1,0.708,0.222,0.066,0.004
200,300,300,700,170,47,0,1,0,0,0
200,300,300,700,170,47,1,0.924,0.072,0.004,0
200,300,300,800,130,47,0,0.01,0.47,0.505,0.015
200,300,300,800,130,47,1,0,0.949,0.05,0.001
200,300,300,800,140,47,0,0.233,0.13,0.544,0.093
200,300,300,800,140,47,1,0.009,0.816,0.159,0.016
200,300,300,800,150,47,0,0.777,0.021,0.157,0.045
200,300,300,800,150,47,1,0.172,0.617,0.166,0.045
200,300,300,800,160,47,0,0.983,0.001,0.015,0.001
200,300,300,800,160,47,1,0.572,0.347,0.073,0.008
200,300,300,800,170,47,0,1,0,0,0
200,300,300,800,170,47,1,0.856,0.136,0.008,0
200,300,300,900,130,47,0,0.004,0.444,0.534,0.018
200,300,300,900,130,47,1,0,0.941,0.059,0
200,300,300,900,140,47,0,0.145,0.141,0.594,0.12
200,300,300,900,140,47,1,0.005,0.844,0.133,0.018
200,300,300,900,150,47,0,0.725,0.016,0.192,0.067
200,300,300,900,150,47,1,0.079,0.709,0.16,0.052
200,300,300,900,160,47,0,0.976,0.004,0.018,0.002
200,300,300,900,160,47,1,0.414,0.5,0.071,0.015
200,300,300,900,170,47,0,1,0,0,0
200,300,300,900,170,47,1,0.773,0.215,0.011,0.001
200,300,300,1000,130,47,0,0.003,0.463,0.526,0.008
200,300,300,1000,130,47,1,0,0.946,0.053,0.001
200,300,300,1000,140,47,0,0.114,0.141,0.609,0.136
200,300,300,1000,140,47,1,0.001,0.849,0.13,0.02
200,300,300,1000,150,47,0,0.628,0.032,0.226,0.114
200,300,300,1000,150,47,1,0.066,0.761,0.125,0.048
200,300,300,1000,160,47,0,0.962,0.002,0.031,0.005
200,300,300,1000,160,47,1,0.319,0.558,0.097,0.026
200,300,300,1000,170,47,0,1,0,0,0
200,300,300,1000,170,47,1,0.633,0.338,0.027,0.002
200,300,400,500,130,47,0,0.026,0.429,0.495,0.05
200,300,400,500,130,47,1,0.001,0.948,0.048,0.003
200,300,400,500,140,47,0,0.344,0.09,0.407,0.159
200,300,400,500,140,47,1,0.052,0.667,0.236,0.045
200,300,400,500,150,47,0,0.909,0.006,0.057,0.028
200,300,400,500,150,47,1,0.424,0.366,0.153,0.057
200,300,400,500,160,47,0,0.995,0.001,0.004,0
200,300,400,500,160,47,1,0.838,0.131,0.026,0.005
200,300,400,500,170,47,0,1,0,0,0
200,300,400,500,170,47,1,0.955,0.042,0.003,0
200,300,400,600,130,47,0,0.014,0.443,0.515,0.028
200,300,400,600,130,47,1,0,0.945,0.053,0.002
200,300,400,600,140,47,0,0.283,0.125,0.466,0.126
200,300,400,600,140,47,1,0.021,0.694,0.25,0.035
200,300,400,600,150,47,0,0.862,0.011,0.101,0.026
