Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Egg_Neglect_Max,Did_Hatch,N,End_Energy_F,Mean_Energy_F,Var_Energy_F,End_Energy_M,Mean_Energy_M,Var_Energy_M,Total_Neglect,Max_Neglect,Season_Length,Scaled_Entropy,Scaled_Entropy_N_Adjusted
400,700,400,700,130,47,0,1,FALSE,1000,442.279940903,490.843256,17933.01992,437.395206759,490.665322,17444.56182,35.143,23.91,59.555,0.8228860290666834,2.1392367681618936
400,700,400,700,130,47,0,2,FALSE,1000,428.2904008988,494.631386,17601.98372,438.03683324,492.234291,17624.61158,35.233,24.506,59.48,0.8193448404099722,2.1470455561523747
400,700,400,700,130,47,0,3,FALSE,1000,434.434751586,490.052912,18288.42027,422.84053672700003,486.949077,18192.09353,35.389,24.856,59.238,0.8164714590202744,2.1604075722883476
400,700,400,700,130,47,0,4,TRUE,1,563.129,556.934,13482.2,407.064,568.214,17621.3,9,4,50,0.9355112959891407,1.1408674341330984
400,700,400,700,130,47,0,4,FALSE,999,442.1042404124124,493.1273063063063,17489.49954954955,427.8831700640641,490.1537237237237,18251.845125125124,34.667667667667665,23.856856856856858,59.01701701701702,0.8269421245262174,2.1285722279387582
400,700,400,700,130,47,0,5,FALSE,1000,428.905884263,492.603079,18051.93521,433.572910688,489.095517,18378.67395,35.166,24.777,59.326,0.8223831700997924,2.149178163912363
400,700,400,700,130,47,0,6,FALSE,1000,430.15163746,488.58687199999997,18282.04488,431.6155267109,487.538484,17978.0197,35.443,24.886,59.464,0.8207709105297252,2.1596855618699813
400,700,400,700,130,47,0,7,FALSE,1000,436.460127678,493.44277,17593.44548,428.13248846,489.896021,18000.10826,35.287,24.474,59.588,0.8242613904127927,2.152546473139823
400,700,400,700,140,47,0,1,TRUE,1,478.31,574.938,16975.5,492.285,593.681,12969.8,2,1,40,0.7497820113685955,0.7892442224932584
400,700,400,700,140,47,0,1,FALSE,999,528.3571531531531,545.5483293293294,14366.908858858858,525.6341357657658,542.6546126126126,14260.233683683684,24.365365365365367,14.08008008008008,60.21821821821822,0.9544469011140396,1.6595382405939452
400,700,400,700,140,47,0,2,TRUE,7,534.352,612.7667142857143,10825.98142857143,429.2150571428571,621.4178571428571,14531.98857142857,1.8571428571428572,1.4285714285714286,40,0.7630816905759963,0.8123052030924162
400,700,400,700,140,47,0,2,FALSE,993,518.658496878147,542.557547834844,14252.859889224572,527.916303021148,542.7678036253776,14129.76836858006,24.671701913393758,14.181268882175226,60.28700906344411,0.9529953422239142,1.6742316492312883
400,700,400,700,140,47,0,3,TRUE,14,498.177,596.3632857142857,13182.673571428571,466.1392142857143,616.2722857142858,11543.661428571428,3.0714285714285716,2.0714285714285716,41.857142857142854,0.8040497473214994,0.875656701426422
400,700,400,700,140,47,0,3,FALSE,986,522.1224636916836,544.9303985801217,14364.249401622717,527.9786155172413,544.2857555780934,14054.455527383367,24.223123732251523,14.16734279918864,60.15415821501014,0.95535076203499,1.6577065653622536
400,700,400,700,140,47,0,4,TRUE,15,512.921,603.1185333333333,11830.649333333333,535.9436,604.659,11096.804,4.733333333333333,2.7333333333333334,44.266666666666666,0.8205426179422567,0.9254044046211076
400,700,400,700,140,47,0,4,FALSE,985,521.8812179695432,545.6397949238578,14346.991715736041,520.5146617055838,543.1688131979696,14396.918984771573,24.322842639593908,14.132994923857868,60.2741116751269,0.9547468941496198,1.6575522335439075
400,700,400,700,140,47,0,5,TRUE,33,516.3821212121212,592.6204242424243,12575.237878787879,549.5286363636363,584.3171818181818,12541.915454545455,7.878787878787879,3.878787878787879,48.72727272727273,0.9023038287666587,1.0826395764611183
400,700,400,700,140,47,0,5,FALSE,967,521.0673503102379,540.9993640124095,14620.491664943123,524.3938383247156,541.6849710444674,14412.169762150983,24.885211995863497,14.33712512926577,60.40020682523268,0.952656020389729,1.6809147907865243
400,700,400,700,140,47,0,6,TRUE,45,501.65395555555557,590.4377777777778,11975.51688888889,547.3975777777778,586.7493555555556,11592.469555555555,7.666666666666667,4.022222222222222,48.48888888888889,0.8898377520529865,1.0664017567752484
400,700,400,700,140,47,0,6,FALSE,955,523.2333993717277,545.2175005235603,14045.404335078534,521.881590052356,540.3652890052356,14404.706397905758,25.23455497382199,14.598952879581152,60.68586387434555,0.9537753698787041,1.6898830075210411
400,700,400,700,140,47,0,7,TRUE,64,504.205140625,581.730765625,14261.59625,495.67678125,585.634765625,11799.7028125,8.703125,5.03125,49.984375,0.9075134276224571,1.1058707195002138
400,700,400,700,140,47,0,7,FALSE,936,522.9613846153846,542.2799668803419,14530.802574786325,519.7913865384616,541.0784829059829,14481.147724358974,25.205128205128204,14.827991452991453,60.66132478632478,0.9551184902578205,1.691327429016531
400,700,400,700,150,47,0,1,TRUE,68,542.6810882352942,656.4347058823529,9979.72161764706,547.4796617647058,646.2238235294118,9006.583529411764,0.36764705882352944,0.27941176470588236,37.64705882352941,0.6337465161533761,0.6442055197262728
400,700,400,700,150,47,0,1,FALSE,932,572.2464120171674,581.6976469957082,12683.417049356223,556.4007006437769,580.7895622317596,12324.56816523605,13.283261802575108,8.13412017167382,54.466738197424895,0.9430516457727159,1.2628899771200124
400,700,400,700,150,47,0,2,TRUE,112,558.818,636.7524821428572,9804.257410714286,552.4871071428571,632.3402410714285,10196.829642857143,1.25,0.8214285714285714,39,0.6928018097557844,0.7216346962152065
400,700,400,700,150,47,0,2,FALSE,888,563.6132342342343,580.5326993243243,12713.465,571.0465777027027,579.1913682432432,12565.354346846847,13.74436936936937,8.377252252252251,55.082207207207205,0.9489114367676077,1.2797139268146407
400,700,400,700,150,47,0,3,TRUE,149,545.4354362416108,623.4911342281879,11030.314026845637,536.5240939597315,621.6862953020134,10588.602617449664,2.442953020134228,1.657718120805369,40.87248322147651,0.7528601395440354,0.8076346531723865
400,700,400,700,150,47,0,3,FALSE,851,568.3744564042303,580.0103948296122,12824.061703877791,569.4085910693302,580.2016650998825,12312.643725029377,13.762632197414806,8.424206815511162,55.190364277320796,0.951759230710889,1.2809427575717478
400,700,400,700,150,47,0,4,TRUE,222,553.9184144144144,611.168427927928,11812.321711711711,542.0263018018018,610.797427927928,10876.626396396396,3.6621621621621623,2.3603603603603602,42.653153153153156,0.7932075392881165,0.8762556255032127
400,700,400,700,150,47,0,4,FALSE,778,565.5613161953728,577.3958766066838,13050.91029562982,578.8247737789203,578.6048791773779,12567.043393316195,14.82133676092545,9.246786632390746,56.25192802056555,0.9583519243435471,1.3167981703890608
400,700,400,700,150,47,0,5,TRUE,327,558.0480244648318,607.8126330275229,11843.588685015291,557.8187431192661,605.40749235474,10861.830489296635,5.131498470948012,3.1529051987767582,44.81039755351682,0.8296017871208543,0.9458011291111802
400,700,400,700,150,47,0,5,FALSE,673,569.649925705795,576.3223595839524,13087.157815750372,562.9082258543833,573.5786716196137,12912.961901931649,15.780089153046063,9.517087667161961,57.30460624071323,0.9653726163388194,1.3482447538620337
400,700,400,700,150,47,0,6,TRUE,412,552.7964854368932,602.21275,12023.676893203883,552.9400655339806,598.4214368932039,11507.509053398058,6.230582524271845,3.808252427184466,46.398058252427184,0.8549527336187663,0.9957511471408537
400,700,400,700,150,47,0,6,FALSE,588,552.6702445578231,573.0505646258504,13455.815221088435,567.2332346938775,573.9326020408163,12945.243469387755,16.78061224489796,10.285714285714286,58.22789115646258,0.9688841312753073,1.3796906558389674
400,700,400,700,150,47,0,7,TRUE,495,553.0835898989899,600.7137111111111,11873.170707070707,546.4589595959596,597.9163616161616,11557.785474747474,6.929292929292929,4.347474747474747,47.42020202020202,0.8706830269942052,1.0283156689521664
400,700,400,700,150,47,0,7,FALSE,505,576.3714099009901,571.2672316831683,13554.749168316832,566.4155643564357,571.7624772277228,12845.320831683168,17.598019801980197,10.82970297029703,58.82178217821782,0.9739091049592621,1.4076392140114005
400,700,400,700,160,47,0,1,TRUE,390,584.2688051282051,667.1705615384616,8419.805051282052,596.7028282051282,662.0745871794871,7984.258025641026,0.26153846153846155,0.20512820512820512,37.47179487179487,0.6108430192822378,0.617301845167118
400,700,400,700,160,47,0,1,FALSE,610,593.6577606557377,607.3701081967213,11929.565524590163,593.9602508196722,606.8235655737705,11068.770295081968,6.491803278688525,4.857377049180328,46.75409836065574,0.8718764984769781,1.0166566914789295
