iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F
10,0,0,100,0,10,0,0,0,61,39.4,37.1,-960.143,-193.093,268383,-871.996,-221.716,217579
10,0,0,110,0,10,0,0,0,61,36.2,34.8,-472.709,-41.9487,144365,-739.893,-131.472,192389
10,0,0,120,0,10,0,0,0,61,29,21.2,-243.185,106.021,113722,-389.459,7.62077,115383
10,0,0,130,0,4,6,0,0,50.9,11.4,4.7,-58.5007,254.846,80777,-12.7914,211.563,54732.6
10,0,0,140,4,0,6,0,0,38.3,0.2,0.1,111.374,457.048,47304.1,52.1445,394.043,44859.8
10,0,0,150,6,0,4,0,0,38,0,0,264.306,502.561,31728.6,187.077,436.459,30379.9
10,0,0,160,10,0,0,0,0,38,0,0,553.895,667.55,11780.8,414.32,581.862,18368.6
10,0,0,170,10,0,0,0,0,38,0,0,688.317,723.741,10389.6,425.601,538.84,9730.49
10,0,0,180,10,0,0,0,0,38,0,0,872.329,808.532,6260.67,772.12,721.753,6538.61
10,0,0,190,10,0,0,0,0,38,0,0,1221.29,986.716,22480.9,993.72,852.561,15725
10,0,0,200,10,0,0,0,0,38,0,0,1244.38,1028.46,17304.9,1077.46,882.417,23027.9
10,0,50,100,0,10,0,0,0,61,38.8,37.3,-908.374,-186.129,263016,-949.207,-231.427,252564
10,0,50,110,0,10,0,0,0,61,34.5,28.5,-548.729,-7.74513,169256,-590.913,-87.4827,158938
10,0,50,120,0,10,0,0,0,61,27.6,15.1,-145.016,132.831,96719.4,-238.089,57.3826,85352.4
10,0,50,130,2,5,3,0,0,50.1,11.3,5.1,-26.318,279.608,76033,15.5663,245.52,49373.9
10,0,50,140,2,1,7,0,0,43.4,4,1.4,163.471,466.069,50703.9,52.8312,321.401,55618.8
10,0,50,150,9,0,1,0,0,38,0,0,302.213,529.925,26020.5,297.868,498.057,21032.3
10,0,50,160,8,0,2,0,0,38,0,0,457.291,622.093,19706,296.327,495.394,21689.5
10,0,50,170,10,0,0,0,0,38,0,0,714.688,724.318,8109.33,603.448,657.787,6341.83
10,0,50,180,10,0,0,0,0,38,0,0,831.441,801.611,5597.14,639.658,685.416,7091.54
10,0,50,190,10,0,0,0,0,38,0,0,992.78,849.534,8330.62,936.664,838.628,14983.6
10,0,50,200,10,0,0,0,0,38,0,0,1244.84,1006.5,23652.4,1177.38,949.911,33551.4
10,0,100,100,0,10,0,0,0,61,40.1,38,-952.783,-207.725,265469,-1004.39,-265.117,255496
10,0,100,110,0,10,0,0,0,61,33.6,27,-348.139,32.1365,134108,-457.92,-32.6975,122326
10,0,100,120,0,9,1,0,0,61,28.7,17.3,-158.523,116.034,100701,-208.944,51.3165,85547.5
10,0,100,130,2,3,5,0,0,47.4,9.6,4.9,-3.17311,309.076,71181.1,17.819,309.948,50743.4
10,0,100,140,4,0,6,0,0,40.1,1.4,0.5,192.952,453.773,40751.3,88.6553,345.657,35708.9
10,0,100,150,8,0,2,0,0,38.3,0.2,0.1,329.169,556.003,25603.9,138.212,414.274,28337.9
10,0,100,160,9,0,1,0,0,38,0,0,522.197,659.379,14761.4,357.583,524.457,13837.5
10,0,100,170,10,0,0,0,0,38,0,0,797.062,805.419,6052.02,552.305,647.527,8188.14
10,0,100,180,10,0,0,0,0,38,0,0,885.609,810.601,8798.17,831.482,780.26,7289.56
