iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_F,meanEnergy_F,varEnergy_F,endEnergy_M,meanEnergy_M,varEnergy_M,meanIncBout_F,varIncBout_F,meanForagingBout_F,varForagingBout_F,meanIncBout_M,varIncBout_M,meanForagingBout_M,varForagingBout_M
10000,50,0,130,759,5711,3530,0,0,52.7715,14.2038,7.921,-34.9465,197.664,56618.2,-19.8358,277.792,76443.2,2.05197,0.24716,3.14019,643.812,2.25125,1.11874,2.99558,440.783
10000,50,0,133,1399,3860,4741,0,0,48.9281,9.6772,5.124,6.80785,241.252,50650.6,28.3169,331.102,67550.2,2.0415,0.21309,2.9077,422.45,2.23002,1.01943,2.87469,364.005
10000,50,0,136,2348,2110,5542,0,0,45.0251,5.7463,2.9601,41.3386,283.535,45439.9,75.1799,385.706,58831,2.0331,0.174487,2.63517,249.034,2.21177,0.93531,2.74869,300.498
10000,50,0,139,3385,1085,5530,0,0,42.2777,3.3042,1.7308,70.595,318.316,41010.4,121.005,432.706,51208.8,2.0238,0.130204,2.42857,122.435,2.19479,0.851206,2.63947,249.949
10000,50,0,142,4643,436,4921,0,0,40.2285,1.6128,0.8683,106.114,351.579,36372.9,173.495,475.253,43516.3,2.01661,0.0892044,2.258,47.6418,2.17796,0.766349,2.54453,210.404
10000,50,0,145,5918,113,3969,0,0,38.9505,0.6483,0.3743,144.2,383.003,31922.7,229.036,515.304,36686.1,2.0114,0.0590312,2.14023,14.1721,2.1614,0.685444,2.46632,179.91
10000,50,0,148,6999,32,2969,0,0,38.3894,0.2568,0.1616,184.175,410.08,28008.5,287.019,548.647,31013.6,2.00724,0.0335809,2.08126,7.17294,2.1464,0.613968,2.40432,156.695
10000,50,0,151,8019,5,1976,0,0,38.1432,0.0911,0.0619,231.036,437.192,23832.3,348.402,579.057,25790.1,2.00424,0.0169455,2.04254,1.82513,2.13233,0.549362,2.35557,138.848
10000,50,0,154,8734,1,1265,0,0,38.0553,0.0338,0.0266,277.229,463.581,20298.8,411.628,610.436,21532.6,2.0024,0.0102446,2.02311,0.514367,2.11984,0.494725,2.31676,124.521
10000,50,0,157,9258,0,742,0,0,38.0194,0.0115,0.0089,327.226,488.942,17159.5,473.741,642.24,17665.1,2.00076,0.00318201,2.01241,0.148085,2.10898,0.448104,2.28529,112.862
10000,50,0,160,9577,0,423,0,0,38.0081,0.0048,0.004,377.65,514.935,14647.5,529.36,670.295,14875.4,2.0005,0.00163322,2.0068,0.044356,2.09965,0.408741,2.25945,103.193
10000,100,0,130,1072,6321,2607,0,0,53.8804,15.6157,9.7834,-20.2211,202.285,53923.1,-8.08822,274.273,75417.2,2.20077,0.421356,3.43936,942.71,2.1295,0.504608,2.34219,164.369
10000,100,0,133,1985,4392,3623,0,0,49.9141,10.6864,6.4288,23.0227,243.879,48190.9,37.8758,329.658,66593,2.16591,0.350135,3.1731,650.362,2.15023,0.569792,2.39155,188.303
10000,100,0,136,3166,2655,4179,0,0,46.0761,6.7277,3.9976,57.0599,285.467,43374,79.6288,380.472,59017.6,2.13001,0.280891,2.87268,362.859,2.16315,0.611931,2.41471,196.217
10000,100,0,139,4413,1398,4189,0,0,42.9882,3.8583,2.3,87.6316,320.647,39009.4,123.433,427.936,51387.2,2.0972,0.228939,2.60686,202.729,2.1695,0.629623,2.41837,192.645
