iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F
20000,0,0,130,527,17345,2128,0,0,58.9004,24.2578,11.3336,345.134,481.609,32563.6,-91.8709,108.531,64530.9
20000,0,0,133,926,15248,3826,0,0,57.3248,20.3896,8.59425,387.555,512.697,28527.3,-58.7401,138.006,60399.9
20000,0,0,136,1718,12318,5964,0,0,55.0012,16.3514,6.3872,421.897,540.969,25324.3,-29.1595,171.066,56656.8
20000,0,0,139,2766,9162,8072,0,0,52.4175,12.6602,4.64615,456.834,569.561,22288.5,-2.75923,204.872,52976.7
20000,0,0,142,4142,6107,9751,0,0,49.5283,9.3713,3.34315,488.635,597.945,19433.9,23.9731,240.955,49345.5
20000,0,0,145,6036,3408,10556,0,0,46.4794,6.42615,2.28865,516.113,622.23,17080.7,53.7973,279.876,45295.8
20000,0,0,148,7742,1714,10544,0,0,44.1508,4.42245,1.63835,547.033,646.277,14989,83.6234,314.001,41715.5
20000,0,0,151,9974,682,9344,0,0,42.0067,2.7622,1.06645,574.82,666.606,13225.9,124.957,354.152,36857.9
20000,0,0,154,11947,210,7843,0,0,40.5669,1.71265,0.71295,606.646,687.524,11532.3,165.969,387.832,32441.7
20000,0,0,157,13958,59,5983,0,0,39.5399,1.00535,0.4449,637.771,707.362,10130.7,219.515,425.842,27488.8
20000,0,0,160,15596,19,4385,0,0,38.8851,0.5675,0.274,672.127,728.318,9037.83,273.17,459.418,23045.9
20000,0,50,130,444,17533,2023,0,0,59.111,24.624,11.0027,348.144,482.939,32033.1,-90.2316,111.063,63448.2
20000,0,50,133,950,15248,3802,0,0,57.4329,20.4714,8.1801,387.149,511.98,28517,-52.7569,142.799,59113.4
20000,0,50,136,1761,12537,5702,0,0,55.2805,16.6372,6.1113,423.148,540.25,25181.9,-23.061,175.008,55234.3
20000,0,50,139,2944,9205,7851,0,0,52.5569,12.7928,4.4009,456.021,568.278,22323.3,4.45599,210.466,51816.6
20000,0,50,142,4281,6198,9521,0,0,49.8261,9.64205,3.1884,492.684,598.463,19433.8,29.9056,244.011,48293.5
20000,0,50,145,6206,3522,10272,0,0,46.9436,6.7992,2.18955,520.497,621.99,17141.3,58.5683,280.988,44631.1
20000,0,50,148,8282,1702,10016,0,0,44.3479,4.5615,1.49255,551.524,647.631,14958.4,93.6646,318.964,40166.5
20000,0,50,151,10250,756,8994,0,0,42.4866,3.0919,1.04735,581.464,668.111,13067.6,128.55,352.793,36327.7
20000,0,50,154,12442,233,7325,0,0,40.7889,1.8595,0.6758,608.417,686.505,11501.4,172.522,390.812,31505.5
20000,0,50,157,14355,66,5579,0,0,39.7032,1.11055,0.4286,642.848,709.217,10123.5,223.476,427.039,26757.1
20000,0,50,160,16086,11,3903,0,0,38.9598,0.6141,0.26135,672.409,726.737,8960.58,276.918,461.312,22585.6
20000,0,100,130,486,17527,1987,0,0,59.1248,24.5319,10.6532,344.275,481.396,32215.5,-86.4077,115.809,62761.4
20000,0,100,133,915,15492,3593,0,0,57.67,20.8165,8.0822,386.4,512.654,28505.7,-51.9674,144.119,58427.1
20000,0,100,136,1742,12573,5685,0,0,55.4793,16.7761,5.98105,425.469,542.154,25085.5,-23.2895,176.459,54906.3
20000,0,100,139,2888,9429,7683,0,0,52.9064,13.0915,4.3023,461.718,571.955,21928.5,5.03989,209.874,51119.6
20000,0,100,142,4523,6240,9237,0,0,49.9601,9.73755,3.04885,495.726,599.148,19209.4,33.1955,247.059,47347.3
20000,0,100,145,6484,3570,9946,0,0,47.1253,6.9052,2.10685,523.305,624.376,16949.8,63.0296,283.369,43608.9
20000,0,100,148,8515,1720,9765,0,0,44.5764,4.70485,1.4357,553.087,646.96,14949.5,95.4958,319.918,39590.5
20000,0,100,151,10582,721,8697,0,0,42.5838,3.1534,1.0018,584.518,669.899,12989.4,132.483,354.335,35444.1
20000,0,100,154,12803,232,6965,0,0,41.0009,1.9992,0.6678,613.587,690.059,11407.1,176.463,391.176,30919.3
20000,0,100,157,14642,69,5289,0,0,39.9188,1.2518,0.45045,643.842,709.188,10137.8,224.842,425.504,26598.4
20000,0,100,160,16408,6,3586,0,0,39.1103,0.7074,0.2798,672.257,726.368,9100.57,281.149,462.855,22147.8
