iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F
20000,50,0,130,1773,14926,3301,0,0,56.5815,18.8776,10.239,-46.5478,235.672,85141.7,88.3697,244.301,38538.6
20000,50,0,133,3418,11392,5190,0,0,53.3284,14.2157,7.2288,-3.05217,286.122,77388.1,123.584,276.15,34874.8
20000,50,0,136,5439,7439,7122,0,0,49.5778,9.83595,4.8431,37.992,337.19,69388.6,152.764,307.74,31993.4
20000,50,0,139,8245,4055,7700,0,0,45.663,6.0284,2.94585,82.7648,393.156,60566.1,176.184,339.673,29673.5
20000,50,0,142,11242,1819,6939,0,0,42.5217,3.34815,1.689,132.998,445.739,51668,195.593,369.17,27588.5
20000,50,0,145,13889,692,5419,0,0,40.4524,1.71775,0.91875,186.826,491.93,43502,217.609,395.009,25403.5
20000,50,0,148,16126,204,3670,0,0,39.207,0.80785,0.46765,246.891,531.979,36241.2,242.932,419.233,22962.6
20000,50,0,151,17841,47,2112,0,0,38.5006,0.3237,0.2061,315.024,570.516,29290.7,274.8,444.128,20478.9
20000,50,0,154,18875,12,1113,0,0,38.2182,0.13645,0.095,382.052,603.461,23759,307.072,467.756,18177.8
20000,50,0,157,19403,1,596,0,0,38.095,0.05695,0.04415,446.199,634.837,19461.4,350.728,492.692,15646.9
20000,50,0,160,19760,0,240,0,0,38.0361,0.02045,0.0179,518.265,669.151,15445.5,394.8,517.448,13553.3
20000,100,0,130,1991,15424,2584,1,0,56.9834,19.5611,11.2741,-25.523,243.176,81269.8,84.134,240.875,38659.9
20000,100,0,133,3653,12070,4277,0,0,53.9295,14.907,8.12145,17.0062,290.544,73731.8,120.035,272.837,35104.8
20000,100,0,136,6105,8119,5774,0,2,50.0605,10.3652,5.4609,59.218,343.432,65984.4,147.568,305.376,32379
20000,100,0,139,8962,4657,6378,0,3,46.2641,6.57105,3.45715,99.851,395.241,58307.5,171.52,337.025,29917.8
20000,100,0,142,11803,2227,5969,0,1,43.1238,3.7986,2.0624,144.061,444.185,50533.9,192.406,364.617,27815
20000,100,0,145,14631,847,4522,0,0,40.7347,1.92065,1.087,196.105,491.069,42640.7,214.422,392.288,25523.3
20000,100,0,148,16641,275,3082,0,2,39.3974,0.94365,0.5703,253.353,531.887,35494,241.599,418.659,23030.3
20000,100,0,151,18202,78,1718,0,2,38.632,0.413,0.2668,317.731,569.449,29030.6,273.825,443.361,20586.8
20000,100,0,154,19150,14,835,0,1,38.2565,0.16105,0.1139,386.105,604.248,23412.8,307.005,467.168,18149.4
20000,100,0,157,19622,1,377,0,0,38.1033,0.06165,0.05035,451.192,635.928,19165.7,347.067,490.877,15855.7
20000,100,0,160,19823,0,177,0,0,38.0436,0.025,0.0216,515.918,667.809,15547.1,392.601,516.662,13560.7
20000,100,50,130,2261,15886,1818,14,21,57.5429,20.3206,10.8805,-4.72506,250.259,76804.7,84.8078,240.668,38816.2
20000,100,50,133,4205,12546,3197,28,24,54.7145,15.7751,7.8734,34.9341,293.703,70267.1,120.608,269.942,35064.8
20000,100,50,136,6975,8562,4412,21,30,51.0521,11.2676,5.4075,73.748,342.557,63704.7,150.775,301.749,32266.9
20000,100,50,139,10108,4951,4890,24,27,47.1328,7.27425,3.48235,112.427,394.186,56814.5,173.838,334.013,30089.2
20000,100,50,142,13127,2377,4474,12,10,43.7891,4.30295,2.12235,155.066,443.249,49511.5,194.625,363.207,27834.2
20000,100,50,145,15801,903,3282,10,4,41.1831,2.24015,1.161,203.812,490.704,42167.2,218.423,391.659,25405.6
20000,100,50,148,17611,258,2127,3,1,39.5799,1.064,0.61035,260.632,533.123,34987,243.21,417.436,23095.7
20000,100,50,151,18761,65,1173,0,1,38.7551,0.49335,0.3037,321.226,569.376,28912.3,272.086,442.089,20675
20000,100,50,154,19412,9,578,0,1,38.3251,0.20435,0.13835,384.57,603.429,23622.9,309.417,467.228,18193.7
20000,100,50,157,19763,4,233,0,0,38.1361,0.0834,0.05975,451.05,635.777,19070.9,348.288,491.265,15836.1
20000,100,50,160,19892,0,108,0,0,38.0504,0.0295,0.0237,515.456,666.858,15476.7,395.089,518.325,13500
20000,150,0,130,2197,15676,2111,0,16,57.2235,20.0263,12.0027,-0.668449,253.895,76835.2,81.826,240.245,38819.8
20000,150,0,133,3971,12531,3462,3,33,54.4186,15.5407,8.7791,41.3285,298.78,69803.4,116.262,270.617,35409
20000,150,0,136,6507,8741,4712,4,36,50.8041,11.0919,6.05545,78.5549,347.042,63014.4,144.564,301.829,32622.5
20000,150,0,139,9503,5211,5244,5,37,47.0207,7.20385,3.8865,118.907,397.515,55650.2,167.235,332.986,30327.8
20000,150,0,142,12525,2600,4845,1,29,43.6833,4.24835,2.36165,160.52,446.508,48511.6,189.281,362.437,28074.7
20000,150,0,145,15214,1057,3703,2,24,41.209,2.2614,1.31145,210.614,492.307,41058.5,212.688,391.63,25754.6
20000,150,0,148,17273,362,2355,1,9,39.5644,1.0599,0.66125,264.654,533.16,34364.4,240.647,418.839,23081.7
20000,150,0,151,18554,109,1334,0,3,38.761,0.49935,0.3321,324.856,570.468,28540.4,271.178,442.339,20745.9
20000,150,0,154,19279,24,697,0,0,38.3366,0.21195,0.1551,389.755,605.133,23202,307.442,466.478,18181
20000,150,0,157,19707,3,290,0,0,38.1285,0.07865,0.06195,456.816,638.143,18730.8,349.053,492.966,15702
20000,150,0,160,19905,0,95,0,0,38.0474,0.02765,0.0234,518.331,668.48,15379.8,393.598,517.07,13520.6
20000,150,50,130,2418,16054,1343,69,116,57.8103,20.8818,11.8346,17.5771,260.616,72582.5,80.9925,237.776,39123.8
20000,150,50,133,4568,12830,2332,85,185,55.1469,16.3562,8.67425,57.8859,301.039,66541.3,116.52,267.339,35539.5
20000,150,50,136,7433,8945,3306,101,215,51.5562,11.7865,6.0381,95.3827,348.569,60327.7,144.584,298.755,32768.8
20000,150,50,139,10945,5211,3578,91,175,47.6189,7.7094,3.95035,131.957,399.743,54057.7,169.715,330.37,30318.7
20000,150,50,142,13932,2559,3325,49,135,44.184,4.62725,2.4258,170.419,446.335,47469.3,190.663,360.852,28026.7
20000,150,50,145,16487,1043,2374,18,78,41.5,2.4787,1.3744,216.284,492.316,40602.7,212.571,389.179,25783.9
20000,150,50,148,18031,344,1592,8,25,39.8378,1.24775,0.7324,271.088,533.033,34055.3,240.77,416.914,23230.3
20000,150,50,151,19060,86,834,3,17,38.8555,0.5605,0.35955,327.797,570.3,28267.5,270.982,441.261,20696.8
20000,150,50,154,19597,20,383,0,0,38.36,0.2283,0.15965,391.759,605.661,23058,305.185,465.619,18295.9
20000,150,50,157,19822,5,171,0,2,38.1442,0.089,0.06695,455.092,637.155,18806.4,349.949,493.846,15663.1
20000,150,50,160,19925,3,72,0,0,38.0602,0.03605,0.0286,516.192,667.768,15571.5,391.881,516.194,13687.6
20000,150,100,130,2480,16007,896,300,317,58.2909,21.5315,11.3106,37.3762,268.829,68232.3,80.9656,236.191,39139.5
20000,150,100,133,4774,12747,1652,397,430,55.8441,17.1318,8.40045,77.1752,307.425,63005.6,119.538,266.458,35415.4
20000,150,100,136,7770,9032,2287,479,432,52.5913,12.8112,6.02295,109.525,347.99,58028.1,146.764,295.035,32785.1
20000,150,100,139,11266,5366,2643,392,333,48.6566,8.6258,4.0361,146.635,397.99,52217,171.098,326.528,30349.9
20000,150,100,142,14559,2555,2458,201,227,44.9457,5.217,2.5001,181.929,444.767,46418.5,193.634,358.288,28051
20000,150,100,145,17094,922,1782,93,109,41.901,2.7634,1.40265,226.385,492.589,39771.1,217.041,388.756,25613.4
20000,150,100,148,18448,323,1139,29,61,40.1435,1.45725,0.80795,271.547,529.577,34193.8,242.244,414.877,23329.4
20000,150,100,151,19289,92,600,3,16,39.0273,0.67395,0.4053,331.746,569.607,28130.9,271.269,441.106,20901.2
20000,150,100,154,19686,14,293,0,7,38.4452,0.2839,0.18355,391.28,603.793,23013.5,307.75,466.163,18225.3
20000,150,100,157,19867,2,129,0,2,38.1734,0.1069,0.0787,456.615,637.861,18607.4,348.584,493.023,15726.7
20000,150,100,160,19960,2,38,0,0,38.0653,0.0389,0.03085,516.756,668.177,15528.5,394.436,517.885,13528
20000,200,0,130,2209,16046,1591,24,130,57.6832,20.768,12.7446,22.8274,264.549,72429.3,78.5853,237.195,39262.6
20000,200,0,133,4103,13017,2668,42,170,55.1066,16.4101,9.5041,63.9213,305.858,66240.5,113.182,266.614,35690.5
20000,200,0,136,6748,9268,3723,52,209,51.6268,11.9163,6.69125,102.212,352.923,59522.9,139.599,297.616,33144.1
20000,200,0,139,9839,5654,4300,37,170,47.8449,7.92785,4.4119,139.915,400.965,52739.2,163.595,328.018,30770
20000,200,0,142,12934,2909,3982,40,135,44.4369,4.83045,2.7358,180.242,447.978,46041.8,183.104,357.324,28559
20000,200,0,145,15579,1219,3103,8,91,41.7062,2.6294,1.54565,225.195,493.601,39612.1,207.843,387.278,26160.6
20000,200,0,148,17550,426,1978,6,40,39.9644,1.3332,0.8355,275.131,534.044,33404,235.969,415.719,23673.8
20000,200,0,151,18763,126,1095,1,15,38.9565,0.6287,0.42045,334.72,571.651,27582.7,268.08,440.669,20877.5
20000,200,0,154,19462,31,503,0,4,38.4089,0.2616,0.18815,394.216,605.727,22783.9,306.003,467.031,18346.9
20000,200,0,157,19777,3,219,0,1,38.1673,0.10275,0.07975,456.274,637.768,18581.2,348.009,491.365,15764.2
20000,200,0,160,19899,2,99,0,0,38.0663,0.03985,0.032,519.505,668.788,15269.6,393.196,517.379,13525.6
20000,200,50,130,2419,15976,1005,132,468,58.1144,21.449,12.6489,42.9201,272.541,68199.2,78.3768,235.539,39539.1
20000,200,50,133,4641,12850,1769,205,535,55.5658,16.9163,9.39545,82.8848,312.452,62572.1,112.782,264.856,35848.8
20000,200,50,136,7648,9068,2403,263,618,52.255,12.5676,6.70975,117.417,355.374,57072.4,139.865,294.834,33266.8
20000,200,50,139,11027,5506,2740,202,525,48.499,8.46575,4.46665,153.501,402.021,50963.4,164.459,325.876,30755.7
20000,200,50,142,14244,2752,2504,113,387,44.8477,5.14915,2.80575,190.361,450.057,45075.6,186.086,356.898,28566.4
20000,200,50,145,16674,1104,1952,54,216,42.032,2.861,1.6306,231.192,493.057,39037.4,209.406,386.424,26252.7
20000,200,50,148,18322,395,1179,23,81,40.1439,1.45955,0.88065,278.564,532.918,33129.6,237.057,414.363,23574.5
20000,200,50,151,19192,117,660,4,27,39.0115,0.66575,0.4347,334.321,570.707,27703.3,269.108,441.155,20955.8
20000,200,50,154,19649,17,320,1,13,38.4587,0.29315,0.20735,394.879,604.041,22694.5,304.439,465.735,18360.3
20000,200,50,157,19862,8,128,0,2,38.1917,0.1195,0.0917,456.487,636.42,18692.4,346.991,491.005,15885.2
20000,200,50,160,19954,4,39,0,3,38.0847,0.0519,0.03965,519.003,668.319,15393.3,390.695,515.554,13711.6
20000,200,100,130,2310,15861,652,384,793,58.6621,22.2313,12.4301,61.729,278.18,64101.3,78.4549,233.164,39522.2
20000,200,100,133,4623,12615,1229,519,1014,56.2927,17.7893,9.3496,98.5911,316.002,59312.1,113.991,262.004,36060.8
20000,200,100,136,7896,8771,1690,609,1034,52.9539,13.2332,6.63525,133.895,358.503,54463.2,142.497,292.091,33050.1
20000,200,100,139,11483,5174,2001,494,848,49.1511,9.04785,4.49765,165.94,402.755,49383.5,166.715,324.26,30734.1
20000,200,100,142,14813,2569,1755,307,556,45.4191,5.59245,2.8727,199.649,448.108,43998.6,189.642,355.516,28499.4
20000,200,100,145,17129,1054,1386,150,281,42.4385,3.1781,1.7106,241.522,492.802,38327.9,212.472,386.796,26097.8
20000,200,100,148,18582,358,895,36,129,40.3807,1.63085,0.94095,286.622,533.445,32661.6,239.047,414.146,23414.7
20000,200,100,151,19375,79,498,9,39,39.1394,0.75005,0.46885,340.462,571.742,27330.5,270.895,441.752,20831.7
20000,200,100,154,19725,26,226,6,17,38.5323,0.34405,0.22995,395.581,603.3,22794.8,307.356,466.484,18209.6
20000,200,100,157,19878,4,111,0,7,38.2251,0.14175,0.10415,458.151,636.116,18701.7,346.457,491.337,15979.9
20000,200,100,160,19962,2,35,1,0,38.0824,0.0501,0.0393,517.835,667.379,15383.5,391.759,516.946,13645.9
20000,200,150,130,2191,15507,437,783,1082,59.0163,22.8713,11.8923,82.9353,288.487,59963.7,80.1225,232.404,39506.4
20000,200,150,133,4513,12172,870,1095,1350,56.892,18.5485,8.94395,118.8,323.169,55545.5,114.943,260.337,35945.8
20000,200,150,136,7866,8318,1344,1208,1264,53.6855,13.9482,6.44955,152.77,363.836,51365.1,144.62,290.896,33313.9
20000,200,150,139,11603,4917,1494,991,995,49.9448,9.7502,4.45,181.453,404.134,47059.9,169.887,322,30725
20000,200,150,142,14969,2375,1472,556,628,46.0727,6.1296,2.85765,213.725,450.611,42373.8,191.065,353.923,28490.4
20000,200,150,145,17350,975,1070,287,318,42.9688,3.5547,1.74685,250.905,493.012,37272.7,214.961,384.464,26085.2
20000,200,150,148,18741,311,702,117,129,40.7492,1.88435,1.00495,295.017,532.95,31937.6,240.992,412.854,23407.3
20000,200,150,151,19478,94,357,18,53,39.3957,0.92235,0.5345,344.826,570.126,27025.1,271.301,439.643,20899.1
20000,200,150,154,19767,16,197,4,16,38.6397,0.41225,0.26005,399.865,604.029,22488.3,306.498,465.237,18367.6
