iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F
20000,0,0,130,571,17341,2088,0,0,58.8972,24.2156,11.423,-91.8544,140.218,82722.8,338.548,441.932,25212.4
20000,0,0,133,1129,15140,3731,0,0,57.1602,20.2008,8.63625,-54.5391,174.988,77809,376.718,470.488,22488.9
20000,0,0,136,2035,12300,5665,0,0,54.9034,16.2386,6.3895,-21.2198,211.432,72579.2,414.408,501.564,19672.2
20000,0,0,139,3194,9274,7532,0,0,52.3526,12.6934,4.71875,9.22426,247.374,68050.8,445.363,527.079,17476.4
20000,0,0,142,4743,6041,9216,0,0,49.3291,9.20615,3.34595,40.6011,290.244,63418,468.53,549.09,15823.3
20000,0,0,145,6529,3452,10019,0,0,46.4934,6.4661,2.3232,76.247,331.392,58237.5,492.025,570.148,14253.1
20000,0,0,148,8562,1638,9800,0,0,43.947,4.2643,1.57985,116.708,373.521,52606.7,512.337,588.706,12751.6
20000,0,0,151,10401,707,8892,0,0,42.0924,2.8268,1.09855,161.965,411.302,47392.6,536.945,607.313,11608.2
20000,0,0,154,12402,215,7383,0,0,40.5386,1.69395,0.698,214.408,452.883,41191.4,555.25,621.525,10629.1
20000,0,0,157,14249,67,5684,0,0,39.5456,1.0104,0.45305,277.228,494.225,35038.9,578.525,638.534,9679.61
20000,0,0,160,15854,14,4132,0,0,38.8603,0.55185,0.27085,340.226,531.762,29312.9,606.117,656.162,8908.38
20000,0,50,130,592,17450,1958,0,0,59.0164,24.4604,11.0793,-84.4186,145.466,80880,335.799,441.947,25348.2
20000,0,50,133,1112,15418,3470,0,0,57.5102,20.712,8.41795,-50.2317,176.485,76199.7,382.909,474.926,22021.6
20000,0,50,136,2049,12480,5471,0,0,55.2454,16.5894,6.10605,-15.3639,213.576,71295.3,415.84,500.515,19712.2
20000,0,50,139,3146,9349,7505,0,0,52.641,12.9039,4.4383,13.5183,250.285,66734,445.96,526.452,17679.9
20000,0,50,142,4824,6173,9003,0,0,49.7077,9.5366,3.1598,45.8006,291.673,62187.3,472.455,549.772,15692.9
20000,0,50,145,6853,3545,9602,0,0,46.8116,6.69505,2.1709,84.0049,334.665,56511.1,495.416,572.323,14218.2
20000,0,50,148,8694,1766,9540,0,0,44.4293,4.621,1.50835,121.243,372.516,51819.3,519.478,590.158,12742
20000,0,50,151,10780,724,8496,0,0,42.3451,2.99315,1.0195,167.476,414.34,46317.2,539.211,606.93,11692.4
20000,0,50,154,12916,230,6854,0,0,40.7512,1.83645,0.66175,222.82,455.307,40011.4,559.048,623.16,10572.8
20000,0,50,157,14669,75,5256,0,0,39.7348,1.136,0.4367,277.544,493.129,34651.8,583.933,639.969,9702.56
20000,0,50,160,16197,14,3789,0,0,38.9995,0.6416,0.269,340.658,530.679,29182.1,607.674,655.661,9019.14
20000,0,100,130,574,17534,1892,0,0,59.1234,24.5876,10.8181,-85.2481,148.353,80133.7,339.211,443.706,25009.9
20000,0,100,133,1137,15531,3332,0,0,57.6216,20.7997,8.10635,-47.777,180.009,75000,382.872,474.317,21971.8
20000,0,100,136,2038,12622,5340,0,0,55.4888,16.8187,6.0057,-14.2602,215.247,70335.8,420.938,503.755,19536.1
20000,0,100,139,3469,9177,7354,0,0,52.6658,12.8923,4.2347,19.3563,255.402,65345.8,449.553,528.51,17492.9
20000,0,100,142,5092,6175,8733,0,0,49.9133,9.6738,3.02385,50.1235,293.901,60963,474.602,550.192,15691.6
20000,0,100,145,6928,3643,9429,0,0,47.2281,7.00445,2.1439,84.5509,332.588,56369.4,499.121,571.412,14212
20000,0,100,148,9335,1725,8940,0,0,44.5281,4.68635,1.42625,130.197,378.245,50347.8,518.139,589.293,12825.7
20000,0,100,151,11347,710,7943,0,0,42.5386,3.12365,0.98105,175.293,416.69,44815.7,542.66,607.99,11553
20000,0,100,154,13224,252,6524,0,0,41.0078,2.0067,0.66255,223.715,454.46,39601.3,565.001,625.576,10603.9
20000,0,100,157,15119,74,4807,0,0,39.8302,1.19185,0.43105,286.462,497.314,33668,581.078,638.375,9704.38
20000,0,100,160,16670,22,3308,0,0,39.1084,0.7093,0.2746,346.621,534.148,28553.7,608.305,655.851,8914.53
20000,0,150,130,595,17528,1877,0,0,59.1964,24.6401,10.6026,-82.9589,152.533,79601.5,340.919,444.356,24827.2
20000,0,150,133,1207,15418,3375,0,0,57.6615,20.736,7.88385,-44.9092,184.768,73931.8,381.298,473.507,22081.2
20000,0,150,136,2117,12664,5219,0,0,55.6427,16.9245,5.8223,-13.7293,218.356,69479.1,421.004,504.509,19376.3
20000,0,150,139,3469,9456,7075,0,0,53.0859,13.2216,4.21,17.2582,255.458,65046.4,449.652,528.469,17364.1
20000,0,150,142,5257,6246,8497,0,0,50.1693,9.8779,2.9737,52.7638,295.149,59894.5,478.28,552.915,15563
20000,0,150,145,7349,3545,9106,0,0,47.4303,7.12765,2.0641,89.6054,336.6,54906.2,503.102,573.417,13969.6
20000,0,150,148,9639,1818,8542,1,0,44.9368,4.97615,1.45125,130.161,376.837,49611.6,526.312,593.128,12667.8
20000,0,150,151,11588,773,7639,0,0,42.8944,3.3661,0.9942,174.355,414.892,44554.5,546.303,610.043,11561.2
20000,0,150,154,13697,229,6074,0,0,41.1946,2.12115,0.66395,227.405,456.985,38839.8,563.961,624.138,10625.1
20000,0,150,157,15546,55,4399,0,0,40.0359,1.32295,0.4488,287.121,495.991,33046.2,587.344,641.644,9747.48
20000,0,150,160,16906,13,3081,0,0,39.263,0.80515,0.3016,348.352,533.164,28010,612.467,658.216,9101.02
20000,0,200,130,576,17578,1846,0,0,59.2754,24.7498,10.3623,-81.2884,157.036,78475.4,342.578,444.875,24948
20000,0,200,133,1177,15536,3287,0,0,57.8591,20.9929,7.8207,-47.2014,187.291,73550.3,386.251,476.973,21723.1
20000,0,200,136,2230,12732,5038,0,0,55.7983,17.0819,5.7013,-13.2587,221.212,68497.9,419.174,503.348,19345.4
20000,0,200,139,3707,9326,6967,0,0,53.1675,13.2547,4.04985,20.7637,260.968,63575,449.609,529.02,17408.2
20000,0,200,142,5535,6328,8135,2,0,50.5494,10.1629,2.9071,53.9565,296.589,58731.5,481.304,555.049,15474.7
