iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F
20000,50,0,130,1372,14956,3672,0,0,56.6106,18.9103,10.1435,95.5577,310.549,56479.4,-53.2822,170.753,60575.9
20000,50,0,133,2606,11433,5961,0,0,53.4505,14.2965,7.2193,134.87,350.066,51363.2,-12.7438,209.715,54688
20000,50,0,136,4458,7402,8140,0,0,49.5267,9.78455,4.746,170.633,394.844,46593.8,23.2349,253.485,49506.9
20000,50,0,139,6871,4137,8992,0,0,45.7566,6.0938,2.96535,202.27,437.029,42107.1,57.9097,295.341,44226.2
20000,50,0,142,9297,1894,8809,0,0,42.6723,3.44765,1.7291,237.259,478.119,37505,91.5029,333.697,39193.8
20000,50,0,145,12030,618,7352,0,0,40.413,1.68285,0.9017,274.668,516.201,32774.7,132.004,371.663,34019.2
20000,50,0,148,14356,223,5421,0,0,39.2308,0.83105,0.4758,318.5,549.098,28713.5,173.361,402.282,29365.7
20000,50,0,151,16306,49,3645,0,0,38.5149,0.3353,0.20735,368.319,580.791,24409.6,222.2,433.778,24763.6
20000,50,0,154,17668,13,2319,0,0,38.2077,0.13295,0.0892,418.461,609.88,20917.5,269.923,458.832,21024.6
20000,50,0,157,18607,1,1392,0,0,38.0714,0.04415,0.03165,476.869,641.969,17375.5,321.664,487.023,17619.8
20000,50,0,160,19184,0,816,0,0,38.0271,0.016,0.01315,533.552,671.65,14583.8,374.609,513.135,14826.1
20000,100,0,130,1709,15328,2963,0,0,56.9737,19.4751,11.0404,90.0893,305.857,57552.8,-29.6853,182.531,56672.8
20000,100,0,133,3189,11965,4845,0,1,53.9646,14.9465,7.99515,129.387,344.941,52813.7,10.5659,219.2,51194.4
20000,100,0,136,5299,8134,6567,0,0,50.1904,10.4369,5.43265,162.115,388.396,48013.7,46.5851,259.553,46113.4
20000,100,0,139,7948,4634,7414,0,4,46.4245,6.6793,3.4448,194.027,430.904,43500,78.3107,299.22,41433.2
20000,100,0,142,10925,2192,6882,0,1,43.09,3.7831,2.01745,228.846,473.593,38703.9,112.388,338.449,36699.2
20000,100,0,145,13596,780,5623,0,1,40.7001,1.88725,1.07145,266.572,512.764,34037.9,148.684,374.878,32311.6
20000,100,0,148,15675,290,4035,0,0,39.407,0.9482,0.5859,309.875,545.656,29356.8,185.977,404.49,28192
20000,100,0,151,17415,73,2512,0,0,38.6133,0.405,0.2581,361.369,578.146,24829.5,231.332,434.395,23957.5
20000,100,0,154,18506,15,1479,0,0,38.2349,0.1497,0.1079,413.571,609.373,21115.9,276.604,461.448,20499.7
20000,100,0,157,19245,4,751,0,0,38.0804,0.05005,0.0389,474.724,641.524,17466,329.52,489.529,17080.7
20000,100,0,160,19588,0,412,0,0,38.026,0.01585,0.01275,531.457,671.384,14716.8,379.292,515.365,14429.8
20000,100,50,130,1947,15807,2213,19,14,57.5419,20.2925,10.7362,90.1288,302.422,57490.6,-11.0696,188.61,53425.5
20000,100,50,133,3686,12579,3694,21,20,54.754,15.8468,7.9237,127.167,340.727,53010.1,27.2892,223.075,48629.4
20000,100,50,136,6097,8628,5226,27,22,51.0953,11.3092,5.39835,163.741,383.553,48192.1,60.3402,260.831,44282.2
20000,100,50,139,9009,4982,5968,19,22,47.2234,7.35355,3.5005,194.432,425.962,43723.7,89.5732,299.156,40306
20000,100,50,142,12041,2324,5610,12,13,43.6808,4.23875,2.0715,229.543,470.238,38815.9,122.553,338.372,35942.5
20000,100,50,145,14514,903,4569,9,5,41.1758,2.2358,1.16815,267.131,509.111,34150.1,154.336,372.964,31899.8
20000,100,50,148,16505,265,3227,0,3,39.588,1.0719,0.60435,311.276,545.584,29294.5,189.939,403.528,27866.9
20000,100,50,151,17886,77,2035,0,2,38.7343,0.4818,0.2959,362.339,579.109,24990.8,232.18,433.345,24026
20000,100,50,154,18886,9,1105,0,0,38.2844,0.1816,0.12595,415.364,609.907,21143.5,282.1,462.213,20161.5
20000,100,50,157,19371,1,628,0,0,38.1086,0.0671,0.04935,471.811,639.932,17574.1,328.661,488.888,17093.6
20000,100,50,160,19713,0,287,0,0,38.0407,0.0244,0.019,530.428,669.914,14709.9,376.993,514.029,14494.3
20000,150,0,130,2053,15795,2113,5,34,57.425,20.2372,11.8445,86.8177,300.986,58490.1,-3.89612,194.909,52468.9
20000,150,0,133,3802,12581,3548,11,58,54.6431,15.7622,8.7432,122.175,337.605,53924.8,35.1283,230.84,47301.4
20000,150,0,136,6394,8713,4845,5,43,50.9368,11.2123,6.0067,154.825,381.086,49354.8,70.5228,268.08,42697.3
20000,150,0,139,9279,5222,5453,5,41,47.2428,7.38385,3.9469,186.968,423.031,45017.8,102.944,305.643,38283
20000,150,0,142,12364,2565,5032,5,34,43.7681,4.3048,2.3442,219.837,466.038,40185.5,133.926,343.57,34198.8
20000,150,0,145,15061,1048,3869,2,20,41.2769,2.31955,1.35125,258.062,505.032,35309.4,167.706,377.683,30242.2
20000,150,0,148,17011,353,2624,0,12,39.6967,1.14875,0.71065,300.513,541.146,30491.9,204.108,407.287,26460.9
20000,150,0,151,18456,87,1452,0,5,38.7411,0.48675,0.32735,354.755,577.597,25694.2,245.322,436.817,22804.5
20000,150,0,154,19228,24,747,0,1,38.3141,0.20175,0.1457,407.225,607.091,21688.8,289.314,463.604,19545.2
20000,150,0,157,19633,3,364,0,0,38.1208,0.0764,0.0596,464.461,638.2,17997.2,333.99,487.991,16755.3
20000,150,0,160,19875,1,124,0,0,38.0405,0.02545,0.0195,525.809,669.27,14933.7,385.191,516.703,14145.6
20000,150,50,130,2275,16079,1459,57,130,57.9071,20.9617,11.7131,84.7828,297.207,58716.5,13.405,200.831,49105.7
20000,150,50,133,4464,12744,2520,87,185,55.0921,16.2665,8.5494,124.004,336.923,53954.4,53.4965,236.108,44588
20000,150,50,136,7086,9110,3515,102,187,51.8206,12.0357,6.0826,155.969,374.965,49471.3,84.8295,269.165,40886.8
20000,150,50,139,10276,5430,4041,74,179,47.9297,7.9736,4.046,185.635,417.763,45174.6,112.703,305.756,37280.2
20000,150,50,142,13600,2553,3661,61,125,44.2553,4.6692,2.43115,219.239,461.952,40345.4,143.588,343.511,33356.1
