iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_F,meanEnergy_F,varEnergy_F,endEnergy_M,meanEnergy_M,varEnergy_M,meanIncBout_F,varIncBout_F,meanForagingBout_F,varForagingBout_F,meanIncBout_M,varIncBout_M,meanForagingBout_M,varForagingBout_M
10000,50,0,130,775,5281,3944,0,0,51.8266,13.0284,7.9682,-47.1333,199.401,57823,-30.5209,280.393,77930.7,2.14471,0.343195,3.12785,12.6925,2.33495,1.14305,2.95541,10.1439
10000,50,0,133,1429,3460,5111,0,0,48.0863,8.7469,5.1169,-4.40324,241.661,51708.8,20.8762,334.198,68294.4,2.1138,0.285787,2.90939,9.55399,2.28509,0.998372,2.74117,7.26351
10000,50,0,136,2284,1942,5774,0,0,44.5402,5.2857,3.0681,31.8091,282.192,46241.2,66.6226,386.271,59710,2.08146,0.212486,2.64827,6.00689,2.22962,0.801705,2.49989,4.54022
10000,50,0,139,3421,894,5685,0,0,41.6708,2.7838,1.6339,65.185,320.667,41297.8,117.522,435.585,51062.2,2.05794,0.168184,2.40704,3.31586,2.17014,0.60849,2.2996,2.46342
10000,50,0,142,4682,342,4976,0,0,39.8182,1.2945,0.7953,101.476,353.065,36744.3,171.581,479.149,43465,2.0341,0.106386,2.24905,1.72719,2.12606,0.437438,2.15422,1.10923
10000,50,0,145,5995,101,3904,0,0,38.8452,0.5772,0.3625,142.299,383.498,32019.7,230.539,516.536,36683.3,2.02065,0.0675937,2.14449,0.814256,2.08754,0.299809,2.0738,0.426912
10000,50,0,148,7120,18,2862,0,0,38.3076,0.1993,0.1402,182.477,411.299,27950.3,287.479,548.463,30731.1,2.0124,0.0415211,2.07261,0.317046,2.05401,0.167181,2.03195,0.154554
10000,50,0,151,8005,4,1991,0,0,38.1286,0.0817,0.0618,231.311,438.218,23852.2,346.511,579.054,26007.7,2.00676,0.0235976,2.04361,0.15851,2.03547,0.110354,2.01537,0.0639493
10000,50,0,154,8731,2,1267,0,0,38.0469,0.0288,0.0234,277.77,463.471,20299.3,410.935,610.533,21686.8,2.00273,0.00946431,2.02518,0.0853892,2.02225,0.0607735,2.00579,0.0182176
10000,50,0,157,9238,0,762,0,0,38.0169,0.0101,0.0085,327.065,488.993,17393.4,470.419,640.03,17915,2.00103,0.00336556,2.01413,0.043234,2.01311,0.0367103,2.00219,0.00849437
10000,50,0,160,9568,0,432,0,0,38.0068,0.0038,0.0032,378.777,515.468,14546.1,530.968,671.167,14760.6,2.00039,0.00244367,2.00637,0.0144572,2.006,0.01382,2.0009,0.00318586
10000,100,0,130,1118,6020,2862,0,0,53.2512,14.7905,9.7249,-25.9571,202.812,54549.7,-19.2226,276.785,76738.6,2.27023,0.556158,3.39837,16.7717,2.51658,1.7189,3.20641,13.9905
10000,100,0,133,2026,4188,3786,0,0,49.4114,10.1583,6.4771,14.6368,244.83,48925.4,28.0435,328.958,67756.7,2.22832,0.484655,3.16747,13.0744,2.43946,1.43271,2.9911,10.6638
10000,100,0,136,3089,2514,4397,0,0,45.758,6.3403,4.0042,48.5038,282.969,44011.5,72.2245,380.952,59888.3,2.17627,0.381244,2.87809,8.57664,2.36534,1.2047,2.70531,6.81812
