iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_F,meanEnergy_F,varEnergy_F,endEnergy_M,meanEnergy_M,varEnergy_M,meanIncBout_F,varIncBout_F,meanForagingBout_F,varForagingBout_F,meanIncBout_M,varIncBout_M,meanForagingBout_M,varForagingBout_M
10000,50,0,130,676,5114,4210,0,0,51.9081,12.8778,8.2437,-57.2647,216.695,64678,-48.8425,260.769,76499,2.19256,0.613358,3.06278,12.0462,2.31746,1.10351,2.93378,10.443
10000,50,0,133,1306,3322,5372,0,0,48.2541,8.7099,5.3863,-10.9398,263.718,57651.5,0.095779,313.891,67703.5,2.15533,0.554629,2.85955,9.09904,2.25962,0.965831,2.7375,7.51358
10000,50,0,136,2209,1772,6019,0,0,44.7559,5.297,3.3065,32.3171,311.738,50678.4,48.5261,364.798,58725.8,2.10317,0.417123,2.59187,5.4495,2.19744,0.80572,2.49398,4.59025
10000,50,0,139,3298,825,5877,0,0,42.2097,3.094,2.0195,74.0368,353.343,44963.9,99.5053,409.395,50718.9,2.06452,0.326556,2.37161,3.06433,2.12971,0.575228,2.30496,2.50937
10000,50,0,142,4647,334,5019,0,0,40.5309,1.7582,1.2543,116.823,387.948,39159.5,149.672,449.695,43541.1,2.03098,0.23183,2.22825,1.63842,2.08671,0.42868,2.16448,1.20492
10000,50,0,145,5789,88,4123,0,0,39.5637,1.0435,0.8399,160.322,420.625,34483.1,202.95,483.717,36975.9,2.01021,0.166541,2.12117,0.655905,2.0482,0.290799,2.0863,0.4902
10000,50,0,148,7017,22,2961,0,0,39.0917,0.7218,0.6498,210.709,450.36,29454.7,260.921,516.842,30970.9,1.99613,0.11188,2.06744,0.314157,2.0222,0.2017,2.04111,0.192281
10000,50,0,151,8008,6,1986,0,0,38.8857,0.5859,0.5643,263.312,480.633,25053.6,317.031,545.693,26279.7,1.98578,0.0874783,2.03602,0.125238,2.00414,0.132891,2.01931,0.0749599
10000,50,0,154,8724,5,1271,0,0,38.7887,0.5236,0.5125,314.131,507.129,21236.2,376.936,577.019,21958.5,1.98213,0.0619709,2.01966,0.0739833,1.9919,0.0890445,2.00997,0.0303492
10000,50,0,157,9305,0,695,0,0,38.7491,0.4981,0.4968,370.623,536.49,17788.1,434.903,606.374,18096.7,1.97897,0.0521804,2.00876,0.0248687,1.98333,0.0665602,2.00398,0.0100058
