iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_F,meanEnergy_F,varEnergy_F,endEnergy_M,meanEnergy_M,varEnergy_M,meanIncBout_F,varIncBout_F,meanForagingBout_F,varForagingBout_F,meanIncBout_M,varIncBout_M,meanForagingBout_M,varForagingBout_M
10000,50,0,130,0,9997,3,0,0,60.9989,32.9063,14.8664,-89.9867,47.3453,56015.4,-87.337,69.2684,67523.2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,50,0,133,0,9993,7,0,0,60.999,30.5887,12.2854,-60.2546,62.1942,52269.2,-55.845,83.1477,63106.4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,50,0,136,0,9966,34,0,0,60.9879,28.2096,10.0487,-36.8626,74.6221,49054,-36.5727,94.8529,60434.9,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,50,0,139,0,9906,94,0,0,60.9718,26.2069,8.4926,-22.0855,83.5959,47323.3,-21.8943,103.25,58339.4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,50,0,142,0,9729,271,0,0,60.915,24.1765,7.2483,-10.2514,91.8072,46055.6,-11.7223,110.115,56938,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,50,0,145,0,9425,575,0,0,60.7698,22.2916,6.2305,-2.70142,97.7533,45126.2,-1.88251,116.787,55960.4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,50,0,148,0,8748,1252,0,0,60.5137,20.5684,5.4669,4.24648,103.37,44655.4,4.27102,122.459,55360,-nan,-nan,4.74578,11.2354,3.33674,12.7956,-nan,-nan
10000,50,0,151,0,7756,2244,0,0,59.9766,18.8134,4.7871,10.8875,109.104,44517.3,10.8258,128.956,55492.9,3.21398,10.2704,4.26744,8.32621,3.35561,12.8532,4.20437,7.95953
10000,50,0,154,0,6725,3275,0,0,59.4759,17.4301,4.2965,17.5205,113.927,44268.4,16.4375,133.584,55421.7,3.2053,9.98348,3.92405,6.34626,3.34404,12.5603,3.86861,5.99109
10000,50,0,157,0,5283,4717,0,0,58.4546,15.8776,3.8359,21.9392,119.791,44719.6,22.3853,139.912,55845,3.23711,10.0598,3.61229,4.67579,3.3816,12.713,3.56333,4.4313
