iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_F,meanEnergy_F,varEnergy_F,endEnergy_M,meanEnergy_M,varEnergy_M,meanIncBout_F,varIncBout_F,meanForagingBout_F,varForagingBout_F,meanIncBout_M,varIncBout_M,meanForagingBout_M,varForagingBout_M
10000,50,0,130,265,5943,3792,0,0,53.7349,15.0183,8.1902,-31.3699,218.797,66604.6,-27.5855,257.676,79050,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,50,0,133,505,4119,5376,0,0,50.3623,10.7983,5.6145,9.3396,263.655,61058,13.4638,302.26,72441.7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,50,0,136,822,2360,6818,0,0,46.6547,6.9457,3.5791,50.595,308.118,55635.2,60.2262,356.245,64909.9,-nan,-nan,-nan,-nan,2.18815,7.0112,2.75271,6.36756
10000,50,0,139,1267,1143,7590,0,0,43.6898,4.209,2.2663,89.2001,349.769,50890.2,98.9361,399.523,59157.9,-nan,-nan,-nan,-nan,2.15302,7.08373,2.52055,3.97864
10000,50,0,142,1918,434,7648,0,0,41.6732,2.5274,1.4981,134.317,389.16,46156.1,148.042,440.618,53195.3,-nan,-nan,2.426,2.80434,2.11684,6.94813,2.34209,2.12113
10000,50,0,145,2647,139,7214,0,0,40.3463,1.525,1.0465,180.304,424.304,42174.1,197.384,479.438,48227.4,1.97823,6.14174,2.28627,1.56327,2.07803,6.89179,2.21594,1.16725
10000,50,0,148,3366,36,6598,0,0,39.7932,1.1245,0.8587,229.275,451.567,38977.1,255.89,514.241,43751.6,1.95495,6.15593,2.21135,0.952195,2.04021,6.78456,2.15381,0.723765
10000,50,0,151,4062,9,5929,0,0,39.4791,0.9139,0.7643,279.449,483.985,36520.1,309.55,541.009,39906.6,1.93726,6.18813,2.14823,0.584714,2.0155,6.69902,2.11247,0.426033
10000,50,0,154,4759,1,5240,0,0,39.2894,0.791,0.6892,338.749,514.246,34032.2,365.901,570.67,37366.7,1.91882,6.0771,2.11757,0.414432,-nan,-nan,-nan,-nan
10000,50,0,157,5470,0,4530,0,0,39.1862,0.7336,0.6613,388.395,539.612,32616.8,430.585,605.405,34719.6,1.92828,6.14521,2.08281,0.257874,1.97791,6.5056,2.06276,0.190061
10000,50,0,160,6068,0,3932,0,0,39.1334,0.7047,0.638,449.632,573.436,31761.9,488.965,630.904,33400.7,1.92802,6.18627,2.06921,0.217855,1.96726,6.35907,2.04578,0.12386
10000,100,0,130,319,6440,3241,0,0,54.6598,16.226,9.9792,-17.1589,221.218,64774.1,-14.3956,257.377,77048.1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,100,0,133,561,4668,4771,0,0,51.3251,11.8892,7.0313,23.0232,265.898,59713.4,27.0925,299.714,70584,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,100,0,136,1000,2862,6138,0,0,47.6471,7.8608,4.5663,62.4192,308.637,54019.1,63.3508,349.484,65247,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,100,0,139,1650,1472,6878,0,0,44.4634,4.8524,2.9037,101.703,352.743,49799.5,109.18,397.475,58288,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,100,0,142,2301,626,7073,0,0,42.1815,2.9024,1.8444,138.298,388.538,45690.5,152.45,439.196,52758,-nan,-nan,-nan,-nan,-nan,-nan,2.52039,3.65143
10000,100,0,145,2957,220,6823,0,0,40.7194,1.7786,1.2441,186.012,424.597,41777.7,202.726,477.571,48027,2.08637,6.68248,-nan,-nan,2.17304,7.5299,2.35337,2.14479
10000,100,0,148,3753,64,6183,0,0,39.9144,1.2061,0.9338,236.71,458.892,38765.8,254.491,509.318,43623,-nan,-nan,-nan,-nan,2.1312,7.26794,2.24849,1.19014
10000,100,0,151,4395,17,5588,0,0,39.5606,0.9661,0.7933,281.346,482.93,36074.5,308.844,540.316,39771.7,2.01832,6.46927,2.24434,1.03588,2.06613,6.92716,2.18287,0.748962
10000,100,0,154,5086,2,4912,0,0,39.3806,0.8524,0.725,336.885,513.447,33846.4,366.675,569.116,37202.2,1.99469,6.42965,2.18586,0.714421,2.05912,6.97356,2.14078,0.50631
10000,100,0,157,5757,1,4242,0,0,39.2253,0.7572,0.6672,390.732,536.877,32340.3,428.84,605.388,35041.7,1.97375,6.35937,2.14889,0.513996,2.02889,6.76766,2.10621,0.365598
10000,100,0,160,6189,0,3811,0,0,39.1759,0.7295,0.6497,441.804,566.021,31527.4,484.718,632.265,33322.3,1.96814,6.33444,2.11624,0.356691,2.00375,6.65312,2.0873,0.259554
10000,100,50,130,772,7155,2073,0,0,56.2989,18.1788,9.6309,0.171869,220.921,61041.6,1.65428,256.08,74486.9,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
