iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_F,meanEnergy_F,varEnergy_F,endEnergy_M,meanEnergy_M,varEnergy_M,meanIncBout_F,varIncBout_F,meanForagingBout_F,varForagingBout_F,meanIncBout_M,varIncBout_M,meanForagingBout_M,varForagingBout_M
10000,50,0,130,811,5994,3195,0,0,53.2816,14.8533,8.5512,-24.8066,201.106,55339.4,-13.3979,278.845,75547.4,2.10134,0.300546,3.25372,14.0431,2.30857,1.21069,3.0999,11.7281
10000,50,0,133,1370,4209,4421,0,0,49.6729,10.4307,5.728,10.8894,239.202,50148.3,31.9456,327.901,67263.4,2.09441,0.2845,3.01496,10.2741,2.2722,1.05255,2.86721,8.38065
10000,50,0,136,2314,2453,5233,0,0,45.857,6.4904,3.4796,47.9359,281.085,44982.5,77.0304,380.947,58584.4,2.07244,0.222977,2.75759,7.11647,2.22501,0.835376,2.60895,5.31435
10000,50,0,139,3498,1231,5271,0,0,42.7202,3.6353,2.0073,80.7713,319.399,40164,124.617,429.928,51235.2,2.0528,0.174202,2.50319,4.10439,2.17679,0.65018,2.37933,3.04133
10000,50,0,142,4672,504,4824,0,0,40.5183,1.8205,1.0342,110.336,350.582,36167,175.841,475.446,43289.3,2.03406,0.11103,2.30285,2.10388,2.13465,0.471492,2.20535,1.40601
10000,50,0,145,5856,173,3971,0,0,39.1989,0.831,0.5012,147.963,381.889,31766,227.078,511.25,37120.3,2.02263,0.075859,2.18339,1.0819,2.10015,0.340317,2.10337,0.59247
10000,50,0,148,7088,37,2875,0,0,38.507,0.3352,0.2177,187.985,408.446,27741.3,288.52,547.957,30936.3,2.01275,0.0436764,2.10006,0.460306,2.06763,0.211435,2.0471,0.231154
10000,50,0,151,8038,8,1954,0,0,38.188,0.1214,0.0861,230.644,435.641,23913.4,345.375,577.765,25989.2,2.00776,0.025037,2.05527,0.211989,2.04332,0.123365,2.02064,0.0953987
10000,50,0,154,8759,1,1240,0,0,38.0776,0.0484,0.0376,278.69,461.835,20265.8,407.418,609.286,21629.5,2.00401,0.0110112,2.03119,0.100948,2.02678,0.0766683,2.00919,0.0324166
10000,50,0,157,9213,1,786,0,0,38.0222,0.0133,0.0111,327.793,488.838,17206.6,475.119,644.104,17650.5,2.00182,0.0051168,2.01635,0.0465469,2.01487,0.0383353,2.00317,0.00842539
10000,50,0,160,9570,0,430,0,0,38.0066,0.0036,0.0034,380.397,515.1,14459.3,529.335,670.519,14915.3,2.0008,0.00253973,2.00958,0.0230251,2.00928,0.0226138,2.0012,0.0028998
10000,100,0,130,1102,6545,2353,0,0,54.1735,16.0642,10.3443,-12.5369,203.228,53301.3,-1.27228,276.639,74591.7,2.24991,0.514023,3.4661,17.7187,2.49438,1.68947,3.30351,15.1415
10000,100,0,133,1893,4812,3295,0,0,50.6131,11.5202,7.1616,27.4359,242.562,47675.3,42.5816,326.642,66439.9,2.2114,0.430577,3.23581,13.5967,2.42385,1.41737,3.08781,11.8761
10000,100,0,136,3042,2950,4008,0,0,46.6022,7.2402,4.3992,61.1693,283.674,43107.8,83.8644,378.414,58636.3,2.16933,0.369218,2.93391,9.19501,2.34644,1.16434,2.77055,7.49774
10000,100,0,139,4395,1528,4077,0,0,43.2564,4.1135,2.5301,91.7256,322.161,38733.1,126.096,426.625,50943.2,2.12421,0.278485,2.63257,5.45844,2.26984,0.89884,2.50386,4.48523
10000,100,0,142,5666,754,3580,0,0,41.0006,2.2043,1.4153,121.742,353.558,34713.6,172.452,468.847,44241.1,2.08521,0.199066,2.40982,2.9994,2.20934,0.690829,2.3,2.2973
10000,100,0,145,7051,287,2662,0,0,39.4312,1.0055,0.6621,157.411,383.548,30685.3,226.231,510.606,37363.8,2.0503,0.120015,2.2409,1.46971,2.14565,0.465787,2.15172,1.04242
10000,100,0,148,8032,94,1874,0,0,38.5862,0.3979,0.2823,198.521,412.45,26727.1,284.103,547.128,31397.7,2.02893,0.0677245,2.13584,0.710156,2.09739,0.309378,2.06902,0.371042
10000,100,0,151,8734,23,1243,0,0,38.241,0.1588,0.1214,233.865,434.817,23580.3,343.721,579.098,26306.8,2.01737,0.0394125,2.08085,0.345045,2.06563,0.192985,2.03493,0.180233
10000,100,0,154,9284,1,715,0,0,38.0745,0.0479,0.037,281.161,462.998,20086,404.176,609.113,21619.2,2.00772,0.0198658,2.04421,0.148056,2.03973,0.111096,2.01313,0.0511988
10000,100,0,157,9633,0,367,0,0,38.0256,0.0164,0.0139,333.119,490.838,16862.7,470.474,641.743,17752.8,2.00456,0.0114397,2.02389,0.0648051,2.02244,0.0560455,2.00638,0.0221639
10000,100,0,160,9778,0,222,0,0,38.0097,0.0062,0.0049,379.878,514.621,14513.8,528.434,670.171,14774.7,2.00168,0.00325478,2.01345,0.0325226,2.01311,0.0315091,2.00238,0.00554387
10000,100,50,130,1219,7219,1559,2,1,55.9736,18.1356,10.2681,9.30921,204.989,50317.8,17.0465,274.495,71384.6,2.12418,0.352653,3.54701,17.5035,2.34187,1.26712,3.39055,15.2019
10000,100,50,133,2064,5457,2479,0,0,52.7036,13.5426,7.2445,46.4561,240.47,45587.6,58.0314,319.907,64630,2.10934,0.316354,3.3406,13.9656,2.30812,1.13572,3.176,11.6979
10000,100,50,136,3277,3524,3197,0,2,48.8999,9.1973,4.8151,79.4205,278.992,41274.5,97.5194,368.537,58102.1,2.09205,0.273531,3.04791,9.85796,2.26739,0.984354,2.87838,7.95767
10000,100,50,139,4889,1902,3206,0,3,45.0281,5.5283,2.8847,110.763,318.195,37243.5,138.407,419.931,50454.9,2.06948,0.217717,2.72023,5.8326,2.22584,0.832297,2.57828,4.66161
10000,100,50,142,6130,913,2955,0,2,42.2634,3.1652,1.7234,135.467,350.838,33851.8,181.732,463.006,44369.7,2.05539,0.173162,2.48201,3.43671,2.18095,0.647123,2.35755,2.50302
10000,100,50,145,7311,315,2372,0,2,40.2099,1.5406,0.9072,167.427,381.137,30153.3,228.137,504.719,37908.7,2.0341,0.10843,2.29124,1.69787,2.13996,0.463819,2.19047,1.19245
10000,100,50,148,8387,91,1522,0,0,38.9734,0.6528,0.4105,201.813,410.356,26570.2,286.148,544.667,31588.9,2.02263,0.0714204,2.16862,0.806892,2.10241,0.329981,2.089,0.439679
10000,100,50,151,9046,20,934,0,0,38.3781,0.2432,0.1668,242.774,437.488,23056.2,345.423,578.8,26099.8,2.01323,0.0392128,2.09337,0.362447,2.06937,0.210483,2.03931,0.160189
10000,100,50,154,9452,7,541,0,0,38.1661,0.1052,0.0778,285.641,463.241,19733.3,402.679,608.379,22000.1,2.00803,0.0252298,2.05567,0.191941,2.04414,0.121775,2.01926,0.0756094
10000,100,50,157,9711,1,288,0,0,38.0531,0.0322,0.0264,331.409,488.749,16912.9,465.424,638.519,18178.6,2.00374,0.0105948,2.03058,0.0787441,2.02769,0.0695581,2.00731,0.0199655
10000,100,50,160,9840,0,160,0,0,38.0204,0.0119,0.0106,379.787,513.342,14423,526.184,669.524,14984.6,2.0016,0.00458042,2.01787,0.0417327,2.01662,0.0376778,2.00293,0.00761532
10000,150,0,130,1197,7077,1726,0,0,55.0777,17.392,12.1818,8.9395,209.629,50064.8,15.0219,274.989,72552.4,2.40455,0.901633,3.73066,22.1914,2.68616,2.3906,3.52204,19.8183
10000,150,0,133,2191,5431,2378,0,0,51.57,12.5768,8.512,45.0864,248.885,45229,55.3453,324.197,65574.3,2.35294,0.783068,3.50378,18.0728,2.60458,2.07445,3.31335,15.6769
10000,150,0,136,3374,3610,3016,0,0,47.7208,8.326,5.5841,77.3628,285.427,40776.5,92.0728,374.257,58271.2,2.28853,0.662445,3.19249,12.8671,2.51393,1.75184,3.00499,10.996
10000,150,0,139,4746,2098,3156,0,0,44.2895,4.977,3.3517,107.009,323.192,36758.3,127.69,418.363,51864.8,2.22075,0.515802,2.85623,8.0437,2.40442,1.38616,2.68876,6.74841
10000,150,0,142,6247,1077,2676,0,0,41.652,2.716,1.8975,136.769,353.871,33256.4,171.787,466.3,44720.6,2.15047,0.359153,2.57145,4.68348,2.31222,1.0666,2.42288,3.64943
10000,150,0,145,7396,512,2092,0,0,39.985,1.4037,1.023,170.076,384.38,29586.7,219.875,504.431,38836.4,2.0988,0.23329,2.37201,2.60698,2.23162,0.785285,2.24794,1.95031
10000,150,0,148,8471,170,1359,0,0,38.87,0.5943,0.4585,207.078,412.448,25874.4,276.437,541.51,32327.7,2.05833,0.138041,2.21698,1.20564,2.15575,0.495988,2.12205,0.799506
10000,150,0,151,9085,49,866,0,0,38.3718,0.2457,0.1982,245.293,437.192,22717.8,334.185,574.483,27169.8,2.03513,0.0817006,2.13071,0.610743,2.10728,0.341114,2.06039,0.309018
10000,150,0,154,9592,5,403,0,0,38.1087,0.0694,0.0589,292.852,467.695,19149,400.714,608.216,22075.8,2.0174,0.0428765,2.07048,0.238988,2.06399,0.180701,2.02482,0.10675
10000,150,0,157,9833,4,163,0,0,38.0356,0.0229,0.0193,337.99,491.747,16434.7,463.715,639.625,18077.2,2.00818,0.0220989,2.03935,0.123845,2.03672,0.0942541,2.01036,0.0374975
10000,150,0,160,9906,2,92,0,0,38.0122,0.0077,0.0069,385.523,516.733,14109,524.895,670.07,15054.7,2.00454,0.00975656,2.02565,0.0728485,2.02489,0.0665654,2.00515,0.014486
