iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_F,meanEnergy_F,varEnergy_F,endEnergy_M,meanEnergy_M,varEnergy_M,meanIncBout_F,varIncBout_F,meanForagingBout_F,varForagingBout_F,meanIncBout_M,varIncBout_M,meanForagingBout_M,varForagingBout_M
10000,50,0,130,698,6503,2799,0,0,54.4309,16.1714,9.411,-21.8099,217.134,60496.8,-10.8897,260.722,71750.9,2.14577,0.573466,3.28888,14.4202,2.27229,1.1291,3.17261,12.7732
10000,50,0,133,1332,4698,3970,0,0,51.0091,11.7521,6.583,21.8056,262.687,54426.5,31.3154,306.745,64234.6,2.12752,0.52049,3.07585,11.1026,2.22343,0.951988,2.95825,9.47969
10000,50,0,136,2238,2922,4840,0,0,47.28,7.7055,4.3133,58.6719,305.802,48661.4,74.741,357.603,56511.9,2.09668,0.429704,2.79483,7.32747,2.18721,0.815385,2.70506,6.62596
10000,50,0,139,3279,1589,5132,0,0,44.2403,4.831,2.7926,92.7661,345.344,43678,114.348,401.002,49985.9,2.06774,0.342205,2.54505,4.49293,2.14443,0.662606,2.46386,3.80478
10000,50,0,142,4539,682,4779,0,0,41.6914,2.688,1.7039,130.308,383.726,38553.7,157.856,443.916,43154.7,2.04027,0.255488,2.32313,2.34082,2.10036,0.495725,2.26396,1.94112
10000,50,0,145,5822,256,3922,0,0,40.1732,1.5044,1.0789,170.414,418.614,33761.6,206.533,479.366,37041,2.02406,0.202421,2.18469,1.16483,2.06418,0.352093,2.14599,0.929793
10000,50,0,148,6936,75,2989,0,0,39.419,0.9525,0.7822,213.218,448.547,29383,257.829,513.855,31654.7,2.00406,0.141443,2.1023,0.541166,2.03314,0.237752,2.07192,0.38029
10000,50,0,151,8057,17,1926,0,0,39.0017,0.6653,0.6165,265.504,479.581,24893.8,320.549,548.252,26051.8,1.99103,0.0962257,2.05405,0.237467,2.01196,0.166978,2.03167,0.131343
10000,50,0,154,8728,6,1266,0,0,38.8252,0.5468,0.5344,315.946,506.55,20939.9,377.169,577.038,21912.6,1.98554,0.0688553,2.02964,0.11292,1.99751,0.118427,2.01448,0.0521256
10000,50,0,157,9267,0,733,0,0,38.7809,0.5192,0.5137,371.553,536.943,17684,441.77,608.974,17913.6,1.97985,0.0589647,2.0146,0.0460751,1.98792,0.0806773,2.00736,0.026886
10000,50,0,160,9554,0,446,0,0,38.7606,0.5066,0.5062,424.289,564.217,15189,490.488,632.919,15267.9,1.97801,0.0543923,2.00838,0.0252052,1.98281,0.0686499,2.00338,0.0114523
10000,100,0,130,1045,6866,2089,0,0,54.9862,17.0507,11.0654,-3.65491,223.105,58036.1,2.91166,260.922,69966.9,2.27465,0.805774,3.45608,17.6193,2.41143,1.44266,3.31118,15.7964
10000,100,0,133,1821,5255,2924,0,0,51.8431,12.6747,7.9316,35.7361,262.994,52506.7,42.3,306.267,63300.5,2.23677,0.714811,3.27119,14.3278,2.35724,1.25757,3.11728,12.52
10000,100,0,136,2989,3475,3536,0,0,48.0305,8.5019,5.3411,69.1754,306.633,47559.9,81.5634,355.256,55924.6,2.1836,0.592373,2.95373,9.65134,2.29899,1.08117,2.85035,8.93119
10000,100,0,139,4254,2000,3746,0,0,44.7562,5.2937,3.3551,102.085,345.989,42401.7,118.142,399.691,49405.2,2.13324,0.451976,2.66486,5.97928,2.22264,0.851081,2.57058,5.25061
10000,100,0,142,5744,894,3362,0,0,41.8976,2.8545,1.9624,134.915,385.264,37508,162.37,443.918,42446.4,2.08278,0.343265,2.40366,3.228,2.1607,0.658177,2.32315,2.59799
10000,100,0,145,6963,381,2656,0,0,40.4221,1.6914,1.2734,174.282,418.554,33305.4,207.634,479.614,36905.1,2.04656,0.240844,2.24164,1.62224,2.10088,0.449601,2.1878,1.34225
10000,100,0,148,7950,129,1921,0,0,39.5131,1.0245,0.8557,217.222,450.471,29132.6,260.067,513.526,31534.7,2.02216,0.172404,2.13587,0.754828,2.05651,0.311522,2.09715,0.602334
10000,100,0,151,8803,40,1157,0,0,39.0556,0.7049,0.648,267.901,481.506,24596.2,321.402,547.534,25924.2,2.00047,0.118057,2.06561,0.298599,2.02142,0.173628,2.04652,0.242264
10000,100,0,154,9342,9,649,0,0,38.8629,0.5736,0.5559,319.556,508.592,20986.9,375.261,577.97,21783.6,1.98742,0.0828872,2.03845,0.139035,2.00775,0.133502,2.02078,0.0850812
10000,100,0,157,9614,1,385,0,0,38.7968,0.5304,0.5244,371.157,537.389,17819.7,433.098,605.558,18337.2,1.98307,0.0636335,2.01981,0.0616982,1.99168,0.09719,2.01031,0.0363952
10000,100,0,160,9814,0,186,0,0,38.7624,0.508,0.5067,429.325,569.224,14899,492.28,635.16,15290.6,1.97922,0.0544893,2.01071,0.0357973,1.98492,0.0749401,2.00441,0.0105294
10000,100,50,130,1130,7600,1268,2,0,56.7965,19.2272,10.8732,16.8184,225.429,55453.4,23.3868,261.992,66382.5,2.16143,0.608904,3.60369,18.5545,2.29515,1.14585,3.45941,16.4504
10000,100,50,133,2038,5927,2026,6,3,53.8015,14.739,7.9733,55.9561,262.853,50145.2,63.9023,304.237,60094.1,2.15016,0.567617,3.39558,14.5544,2.27201,1.06656,3.25902,12.8273
10000,100,50,136,3301,3981,2714,1,3,50.0928,10.3318,5.5148,91.3813,305.207,45046.4,99.878,348.804,54412.1,2.12911,0.508944,3.08496,10.1786,2.23467,0.962305,2.9627,8.85847
10000,100,50,139,4749,2343,2898,1,9,46.5698,6.7782,3.7232,120.592,343.221,40881.7,135.343,393.923,48290.7,2.1004,0.429929,2.78859,6.82372,2.18566,0.777479,2.68558,5.83403
10000,100,50,142,6105,1188,2699,4,4,43.5271,4.1089,2.4,153.336,381.615,36620.7,174.636,436.978,42468.6,2.07124,0.352348,2.51153,3.79499,2.14479,0.629242,2.43521,3.27218
10000,100,50,145,7371,464,2162,1,2,41.3928,2.3756,1.5426,185.719,414.98,32514,218.232,475.894,36977,2.04326,0.265505,2.31085,1.95803,2.1036,0.4969,2.25071,1.63016
10000,100,50,148,8393,171,1436,0,0,40.0082,1.3701,1.0162,228.999,449.07,28334.6,264.179,510.494,31187,2.02038,0.182842,2.17875,0.988264,2.06836,0.359545,2.13059,0.719874
10000,100,50,151,9042,25,931,0,2,39.2834,0.8507,0.7283,274.201,480.656,24331.1,318.81,543.344,26410.8,2.00369,0.133799,2.0936,0.415249,2.03344,0.243364,2.06328,0.297306
10000,100,50,154,9507,14,478,0,1,38.974,0.6455,0.605,323.965,509.081,20607.7,375.189,575.312,21960.5,1.99145,0.0941122,2.0501,0.181288,2.0113,0.163488,2.03027,0.134351
10000,100,50,157,9704,5,291,0,0,38.8247,0.5477,0.5336,375.422,537.85,17539.5,434.322,606.729,18207.2,1.98349,0.0749132,2.02848,0.0996144,2.00056,0.119748,2.0145,0.0477163
10000,100,50,160,9863,0,137,0,0,38.7748,0.5153,0.5096,423.719,563.308,14968.9,492.399,635.225,15120.1,1.97992,0.0591763,2.01644,0.0510595,1.99021,0.0861514,2.00725,0.0207975
10000,150,0,130,1107,7381,1512,0,0,55.8094,18.3197,12.8373,15.461,228.599,55535.5,14.4506,262.582,68763.3,2.41597,1.2368,3.70724,22.2647,2.59321,2.16874,3.45235,18.9493
10000,150,0,133,1956,5849,2195,0,0,52.7343,13.8263,9.3988,51.3045,267.316,50424.7,55.534,305.059,61707.7,2.38063,1.13711,3.49117,17.7711,2.5235,1.87425,3.33924,16.598
10000,150,0,136,3186,4084,2730,0,0,49.1056,9.5586,6.4032,83.276,306.563,45442.9,91.7926,350.935,55216.8,2.31016,0.945591,3.18474,12.9021,2.43258,1.51384,3.06381,12.0876
10000,150,0,139,4637,2466,2897,0,0,45.5109,5.9517,4.0894,115.649,348.457,40744.1,127.643,398.272,48977.9,2.22816,0.736961,2.84433,8.1196,2.33789,1.20681,2.73532,7.54117
10000,150,0,142,6080,1314,2606,0,0,42.7802,3.5502,2.5253,145.675,383.801,36608.3,166.12,438.85,42780.6,2.15864,0.55012,2.55671,4.72613,2.24814,0.927613,2.47782,4.39143
10000,150,0,145,7465,612,1923,0,0,40.8321,2.0103,1.5432,184.292,419.486,32269.6,212.131,477.917,36679.3,2.10022,0.398981,2.335,2.45047,2.16575,0.655289,2.2737,2.14995
10000,150,0,148,8454,225,1321,0,0,39.7161,1.1651,0.9769,224.001,449.511,28102.6,261.57,513.52,31323.6,2.05296,0.263265,2.20058,1.189,2.10869,0.461686,2.14426,0.921822
10000,150,0,151,9153,73,774,0,0,39.1265,0.753,0.6939,269.939,478.632,24254,317.344,545.824,26383.9,2.02259,0.171807,2.1103,0.539345,2.0585,0.294834,2.07051,0.350554
10000,150,0,154,9582,24,394,0,0,38.8883,0.5906,0.5709,319.162,507.617,20740.6,374.905,575.993,21882,2.00325,0.11588,2.06235,0.258925,2.02698,0.190611,2.03721,0.153523
10000,150,0,157,9787,3,210,0,0,38.8042,0.5349,0.5328,373.058,537.082,17508.9,431.824,605.537,18286.8,1.99021,0.0825391,2.03456,0.106855,2.0059,0.129561,2.01761,0.0593538
10000,150,0,160,9912,0,88,0,0,38.7794,0.519,0.5173,426.848,564.985,14617.4,493.531,635.377,15157,1.98243,0.0591741,2.01784,0.0521633,1.99047,0.0917709,2.00771,0.0180355
10000,150,50,130,1224,7816,913,6,41,57.154,20.0671,12.7286,38.3899,232.431,52444.4,34.3649,265.075,65103.6,2.31075,0.854452,3.82754,22.8542,2.46635,1.55764,3.57861,19.1504
10000,150,50,133,2192,6331,1416,6,55,54.3684,15.5916,9.4914,69.144,268.054,48071.6,73.837,305.634,58764.1,2.2846,0.792051,3.5844,18.1538,2.4213,1.37057,3.41771,16.1886
10000,150,50,136,3558,4491,1861,10,80,50.8432,11.1135,6.6941,102.126,306.797,43595.3,110.33,349.449,53204.8,2.24046,0.680268,3.29047,13.3327,2.3583,1.18109,3.15124,11.9295
10000,150,50,139,5054,2858,2004,11,73,47.4288,7.5965,4.5899,132.067,343.513,39565.8,142.961,391.915,47894.9,2.18739,0.570476,2.97456,9.24122,2.2956,1.00442,2.84067,7.92277
10000,150,50,142,6597,1443,1891,10,59,43.9765,4.475,2.8628,162.187,383.182,35456.1,181.642,436.473,41853.8,2.13361,0.446804,2.62252,4.96332,2.21619,0.803167,2.54068,4.52922
