iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_F,meanEnergy_F,varEnergy_F,endEnergy_M,meanEnergy_M,varEnergy_M,meanIncBout_F,varIncBout_F,meanForagingBout_F,varForagingBout_F,meanIncBout_M,varIncBout_M,meanForagingBout_M,varForagingBout_M
10000,50,0,130,0,5860,4140,0,0,53.4144,14.5913,8.2205,-23.6752,96.3322,45379.9,-38.5604,365.797,135259,-nan,-nan,-nan,-nan,2.26786,30.4107,2.91068,9.40322
10000,50,0,133,0,3837,6163,0,0,49.5335,9.9646,5.3212,37.3066,133.549,42364.7,-6.7018,429.257,130906,-nan,-nan,-nan,-nan,2.31517,33.1538,2.74267,7.07162
10000,50,0,136,0,2237,7763,0,0,45.9541,6.3621,3.3232,97.1893,169.08,40624.7,20.1781,490.087,127309,-nan,-nan,-nan,-nan,2.32206,35.5332,2.54475,4.82137
10000,50,0,139,0,1125,8875,0,0,43.1235,3.7774,2.0244,161.318,199.912,40402.8,38.423,542.903,124777,-nan,-nan,-nan,-nan,2.31217,37.4575,2.36869,2.86174
10000,50,0,142,0,402,9598,0,0,40.9463,1.9927,1.1715,228.486,229.982,40533.7,55.6115,591.006,122495,-nan,-nan,-nan,-nan,2.25084,38.3161,2.21772,1.40915
10000,50,0,145,0,132,9868,0,0,39.7368,1.0823,0.7141,311.519,258.709,42074.9,66.7629,629.235,121345,-nan,-nan,-nan,-nan,2.19855,38.8685,2.13187,0.630959
10000,50,0,148,0,35,9965,0,0,39.0596,0.6075,0.4703,404.971,285.713,44758.2,80.1174,668.12,120353,-nan,-nan,-nan,-nan,2.05711,37.4784,2.07933,0.286635
10000,50,0,151,0,5,9995,0,0,38.7197,0.3825,0.3403,495.493,310.33,48241.6,92.876,702.246,119648,-nan,-nan,-nan,-nan,1.8943,35.301,2.05043,0.147512
10000,50,0,154,0,3,9997,0,0,38.5608,0.2903,0.2722,589.55,334.604,53267.8,106.72,733.55,118818,-nan,-nan,-nan,-nan,1.6921,32.0074,2.03443,0.0864404
10000,50,0,157,0,0,10000,0,0,38.426,0.2162,0.2105,683.122,358.544,59554.9,122.868,767.501,117917,-nan,-nan,-nan,-nan,1.45401,27.8899,2.02407,0.0482754
10000,50,0,160,0,0,10000,0,0,38.3195,0.1603,0.1592,770.1,380.522,66493.3,145.637,801.583,116814,0.00402579,0.0214396,2.18487,0.790662,1.23024,23.8302,2.01591,0.0286252
10000,100,0,130,0,6288,3712,0,0,53.9951,15.5113,10.0136,-9.4668,100.808,44253,-26.3106,367.562,132738,-nan,-nan,-nan,-nan,2.39953,32.3306,3.02822,12.1906
10000,100,0,133,0,4441,5559,0,0,50.3936,11.0246,6.8092,44.2549,135.483,41400.1,4.88618,425.481,128880,-nan,-nan,-nan,-nan,2.43704,34.6749,2.8793,9.63147
10000,100,0,136,0,2684,7316,0,0,46.6307,7.0335,4.2666,106.545,170.829,39918.8,28.4319,487.517,126244,-nan,-nan,-nan,-nan,2.44946,37.2384,2.66476,6.56113
10000,100,0,139,0,1431,8569,0,0,43.7117,4.2744,2.6425,162.797,200.519,39586.4,45.6763,538.082,123837,-nan,-nan,-nan,-nan,2.42429,38.8979,2.47093,4.15496
10000,100,0,142,0,573,9427,0,0,41.3571,2.3217,1.4976,234.611,229.864,40299.1,57.0626,587.536,122277,-nan,-nan,-nan,-nan,2.38076,40.2235,2.2928,2.17481
10000,100,0,145,0,234,9766,0,0,39.9508,1.2481,0.892,315.081,257.18,41950.6,67.9992,630.471,121200,-nan,-nan,-nan,-nan,2.27899,40.0561,2.18167,1.12722
10000,100,0,148,0,64,9936,0,0,39.1543,0.6743,0.545,404.432,285.451,44603.5,80.8878,667.297,120203,-nan,-nan,-nan,-nan,2.12887,38.5583,2.11101,0.508651
10000,100,0,151,0,18,9982,0,0,38.761,0.414,0.3662,501.52,312.034,48598.4,93.553,703.437,119578,-nan,-nan,-nan,-nan,1.94736,36.05,2.06925,0.248682
10000,100,0,154,0,2,9998,0,0,38.5717,0.2975,0.2816,590.677,334.94,53373.1,106.848,732.984,118882,-nan,-nan,-nan,-nan,1.75803,33.056,2.0489,0.13123
