Strategy_Overall,Sensitivity_Degrading,Sensitivity_Perturbing,Success_140,Success_150,Fail_Dead_Parent_140,Fail_Dead_Parent_150,Fail_Egg_Neglect_Max_140,Fail_Egg_Neglect_Max_150,Success_Perturbed,Fail_Dead_Parent_Perturbed,Weighted_Entropy,Degraded_Penalty,Perturbed_Penalty
200-300/200-300,0.07028293935274259,0.3450000000000001,0.558,0.966,0.121,0.007,0.245,0.021,0.777,0.135,0.6274902661174646,0.4079999999999999,0.18899999999999995
200-300/200-400,0.07564897874596926,0.258,0.47,0.958,0.12,0.005,0.345,0.034,0.742,0.119,0.6522292947720911,0.488,0.21599999999999997
200-300/200-500,0.07019532575661794,0.267,0.414,0.912,0.122,0.009,0.397,0.071,0.669,0.129,0.6849971332560063,0.49800000000000005,0.243
200-300/200-600,0.06919772864164725,0.32999999999999996,0.394,0.892,0.112,0.01,0.419,0.084,0.562,0.212,0.7381675194712205,0.498,0.32999999999999996
200-300/200-700,0.06680752468706874,0.347,0.305,0.83,0.131,0.014,0.49,0.126,0.483,0.267,0.7881790900632102,0.5249999999999999,0.347
200-300/200-800,0.06576595805505057,0.394,0.23,0.788,0.151,0.015,0.512,0.159,0.394,0.353,0.8224403057996221,0.558,0.394
200-300/200-900,0.06879577336758722,0.494,0.167,0.733,0.14,0.025,0.594,0.175,0.239,0.465,0.8623769890838272,0.566,0.494
200-300/200-1000,0.06994371035554021,0.443,0.111,0.641,0.154,0.025,0.599,0.237,0.198,0.491,0.896223656172685,0.53,0.443
200-300/300-400,0.07453028801786803,0.28400000000000003,0.462,0.932,0.103,0.007,0.323,0.039,0.724,0.113,0.6833967113006054,0.47000000000000003,0.20800000000000007
200-300/300-500,0.07481882796685863,0.265,0.37,0.909,0.102,0.006,0.405,0.071,0.645,0.126,0.7041173752048865,0.539,0.264
200-300/300-600,0.07134183585288152,0.32399999999999995,0.339,0.872,0.109,0.011,0.47,0.1,0.548,0.191,0.7449702674948631,0.5329999999999999,0.32399999999999995
200-300/300-700,0.0698014991160527,0.37799999999999995,0.267,0.832,0.123,0.014,0.519,0.115,0.454,0.27,0.7948496558348674,0.565,0.37799999999999995
200-300/300-800,0.06861021460516102,0.414,0.22,0.755,0.117,0.025,0.563,0.173,0.341,0.374,0.8361757617227231,0.535,0.414
200-300/300-900,0.06818302020470735,0.485,0.157,0.718,0.12,0.019,0.602,0.188,0.233,0.476,0.8644001997173557,0.5609999999999999,0.485
200-300/300-1000,0.06717951139972923,0.467,0.128,0.642,0.166,0.028,0.592,0.229,0.175,0.489,0.8987226157620655,0.514,0.467
200-300/400-500,0.07375389435125944,0.28500000000000003,0.396,0.912,0.087,0.006,0.38,0.054,0.692,0.118,0.7235504680586333,0.516,0.22000000000000008
200-300/400-600,0.0713359680991676,0.31899999999999995,0.34,0.872,0.082,0.016,0.459,0.091,0.553,0.19,0.7537415640897105,0.532,0.31899999999999995
200-300/400-700,0.07239709515940486,0.413,0.252,0.836,0.132,0.013,0.506,0.118,0.423,0.26,0.793367947706123,0.584,0.413
200-300/400-800,0.06999114714448512,0.468,0.2,0.784,0.134,0.014,0.545,0.156,0.316,0.395,0.8325679596924479,0.5840000000000001,0.468
200-300/400-900,0.06922011868296195,0.44499999999999995,0.147,0.709,0.118,0.031,0.595,0.188,0.264,0.423,0.8713176671266821,0.5619999999999999,0.44499999999999995
200-300/400-1000,0.0680329747710446,0.439,0.121,0.614,0.15,0.023,0.608,0.242,0.175,0.512,0.8995664317496239,0.493,0.439
200-300/500-600,0.0738536346877178,0.31499999999999995,0.291,0.858,0.108,0.014,0.407,0.078,0.543,0.179,0.7679597003466434,0.567,0.31499999999999995
200-300/500-700,0.068437485564221,0.35600000000000004,0.235,0.795,0.101,0.02,0.515,0.122,0.439,0.278,0.8017824342257756,0.56,0.35600000000000004
200-300/500-800,0.07010054954333612,0.4,0.172,0.748,0.125,0.024,0.544,0.148,0.348,0.367,0.8467427357359278,0.5760000000000001,0.4
200-300/500-900,0.07041328956423888,0.44000000000000006,0.126,0.68,0.133,0.019,0.605,0.209,0.24,0.442,0.8755555690611676,0.554,0.44000000000000006
200-300/500-1000,0.07082156747059815,0.409,0.105,0.612,0.134,0.027,0.635,0.24,0.203,0.47,0.9016296109377302,0.507,0.409
200-300/600-700,0.07576630234356449,0.40399999999999997,0.204,0.817,0.122,0.016,0.444,0.088,0.413,0.3,0.810797378817688,0.613,0.40399999999999997
200-300/600-800,0.07334481212672052,0.43,0.163,0.74,0.126,0.02,0.546,0.148,0.31,0.397,0.8466372384279082,0.577,0.43
